pvt,process_section,mim_section,vdd_v,temp_c,job_id,phase,role,method_id,mismatch_seed,noise_mode,noise_seed,band,warmup_frames,total_frames,maxstep_ns,frame_index,phase_index,view,retained,ideal_vid_v,commanded_vid_v,code,bits,valid,complete_v,invalid_v,timeout_v,sampled_diff_v,input_diff_v,complete_time_s,stable_margin_s
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,14,14,STEADY_STATE_RETAINED,True,-1.40981853608705,-1.4097570524892327,22,00010110,True,3.3,0.0,0.0,-1.40961,-1.40975,7.3755e-06,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,15,15,STEADY_STATE_RETAINED,True,-1.4147796287657606,-1.414748581286484,22,00010110,True,3.3,0.0,0.0,-1.41583,-1.41474,7.87548e-06,1.0452000000000014e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,16,16,STEADY_STATE_RETAINED,True,-0.7774603483941246,-0.7773962053993188,70,01000110,True,3.3,0.0,0.0,-0.779822,-0.777386,8.3755e-06,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,17,17,STEADY_STATE_RETAINED,True,0.21280967599837608,0.2127892151646504,145,10010001,True,3.3,0.0,0.0,0.213893,0.212799,8.87548e-06,1.0452000000000014e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,18,18,STEADY_STATE_RETAINED,True,1.106468556641088,1.1065012651206754,212,11010100,True,3.3,0.0,0.0,1.10612,1.10651,9.37548e-06,1.0452000000000014e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,19,19,STEADY_STATE_RETAINED,True,1.4978138452031033,1.4977788280593907,242,11110010,True,3.3,0.0,0.0,1.49871,1.49779,9.8755e-06,1.0449999999999875e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,20,20,STEADY_STATE_RETAINED,True,1.2091829624257837,1.2091428344715496,220,11011100,True,3.3,0.0,0.0,1.2077,1.20915,1.03755e-05,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,21,21,STEADY_STATE_RETAINED,True,0.3716082947633996,0.3716846341369737,157,10011101,True,3.3,0.0,0.0,0.372288,0.371695,1.08755e-05,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,22,22,STEADY_STATE_RETAINED,True,-0.6346687696089611,-0.6346194130300206,81,01010001,True,3.3,0.0,0.0,-0.634616,-0.634609,1.13755e-05,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,23,23,STEADY_STATE_RETAINED,True,-1.3528194814245906,-1.3527981049377242,27,00011011,True,3.3,0.0,0.0,-1.35247,-1.35279,1.18755e-05,1.0450000000000044e-07
