category,mismatch_seed,noise_seed,repeat_index,frame_index,ideal_vid_v,commanded_vid_v,code,valid,invalid_v,timeout_v,complete_time_s,measurement_stem,measurement_maxstep_ps,measurement_solver_profile
MC200_MAIN,1,100001,,38,1.3591157246103238,1.359170463654316,230,True,0.0,0.0,1.93755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,39,0.6479810573451193,0.6479741231079473,177,True,0.0,0.0,1.98755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,40,-0.3573234627926919,-0.357306008473645,100,True,0.0,0.0,2.03755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,41,-1.2004106012861624,-1.2003844071313987,37,True,0.0,0.0,2.08755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,42,-1.4985364234506107,-1.4986410346602852,15,True,0.0,0.0,2.13755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,43,-1.116358038858104,-1.116306013441672,44,True,0.0,0.0,2.18755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,44,-0.22737644401505985,-0.22751457399565644,111,True,0.0,0.0,2.23755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,45,0.7648293027139195,0.7648064745245092,185,True,0.0,0.0,2.28755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,46,1.4098185360870479,1.4098712139875254,234,True,0.0,0.0,2.33755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,47,1.414779628765761,1.4148799237053138,234,True,0.0,0.0,2.38755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,48,0.7774603483941213,0.7775382460259709,186,True,0.0,0.0,2.43755e-05,fast64_s001_n100001_main,100.0,DEFAULT
