baseline_abs_offset_rank_ascending,mismatch_seed,baseline_cap_x1_offset_lsb,offset_lsb,cap_x1div3_minus_baseline_offset_lsb,offset_v,t1_measured_v,lower_v,upper_v,width_lsb,bisection_rounds,elapsed_s,cpu_affinity,result_sha256
78,1,0.39257812499999667,0.6386718750000101,0.24609375000001343,0.008482360839843883,-1.6782363891601562,-1.678314208984375,-1.6781585693359375,0.011718749999996657,7,367.1267739210016,0,0a1ee4ef1e885b323a37e0dffe5316695de3409368c68eacd184067d7a77d882
62,2,0.25195312500000333,0.4980468750000167,0.24609375000001338,0.006614685058593972,-1.680104064941406,-1.680181884765625,-1.6800262451171875,0.011718749999996657,7,366.42425661299785,2,90bf2dc7b203818c53d36f0f47e706b339456684c57b7ddac0f3b96a7e2c9726
98,3,0.6269531249999967,0.8828125000000101,0.25585937500001343,0.011724853515625133,-1.674993896484375,-1.67509765625,-1.67489013671875,0.01562499999998997,8,0.1394969510001829,4,d5cf1ccd3cfeff33b243a10d3303ea10ecd4379bbd372a4f6ef980e89be4de7a
7,4,-0.017578125000003345,0.22851562500001005,0.24609375000001338,0.0030349731445313832,-1.6836837768554687,-1.6837615966796875,-1.68360595703125,0.011718749999996657,7,366.92100971400214,6,f9f13a98c8640f4b79b0fabc1bfbee5fb6aab9afd4a6bf76ceda166cf66cc611
82,5,0.4160156250000234,0.6621093750000033,0.2460937499999799,0.008793640136718794,-1.6779251098632812,-1.6780029296875,-1.6778472900390626,0.011718749999996657,7,366.86865104200115,8,0ca3e4709abd4965ed1f15743a221cf7707443d37a5d1e311e9d388e3b369316
11,6,-0.052734375000010034,0.19335937500000336,0.24609375000001338,0.0025680541992187944,-1.6841506958007812,-1.684228515625,-1.6840728759765626,0.011718749999996657,7,364.6169897380023,10,2f3dff2f93ccfc902346014ed8028575c13913544afb7c743a7130f06f88a446
68,7,0.31054687500000333,0.5566406250000168,0.24609375000001343,0.007392883300781472,-1.6793258666992186,-1.6794036865234374,-1.679248046875,0.011718749999996657,7,366.1636385009988,12,7bec3813fe31f73725ee5603ac91d778e8ea039ca2f352fddc4a17d6d76d1834
83,8,0.4160156250000234,0.6621093750000033,0.2460937499999799,0.008793640136718794,-1.6779251098632812,-1.6780029296875,-1.6778472900390626,0.011718749999996657,7,366.8659421429984,14,4b47c9bf0402816a1f0f106c0082cd1478d5e8fa965101f7a3fd0afe70169c04
41,9,0.15820312499999667,0.40429687500001005,0.24609375000001338,0.005369567871093883,-1.6813491821289062,-1.681427001953125,-1.6812713623046873,0.011718750000013375,7,364.941864542001,4,c666beacdc5d107ea6c2362e225d4fc852493da1b9559ef865921b87dcafd2a8
1,10,0.005859374999989969,0.25195312500000333,0.24609375000001335,0.0033462524414062944,-1.6833724975585938,-1.6834503173828126,-1.683294677734375,0.011718750000013375,7,365.6376788130001,10,1aca876779faf1ce0cfffbb99ef067abd7825a2b0e276de3b9b5f188f598f2b3
