mismatch_seed,sampler_offset_v,sampler_gain_negative,sampler_gain_positive,sampler_asymmetry_ppm,sampler_fit_rms_v,correction_offset_v,correction_vicm_slope_scaled_v,correction_settling_scale_v,correction_major_fit_max_error_lsb,correction_major_fit_rms_error_lsb,offset_lsb,gain_error_ppm,endpoint_lsb_v,minimum_code_width_lsb,missing_code_count,max_abs_dnl_lsb,max_abs_inl_endpoint_lsb,max_abs_inl_best_fit_lsb,worst_width_lower_code,worst_dnl_lower_transition,worst_inl_transition,static_risk_score,reconstructed_spec_status,cohort_residual_recalibrated
57,9.845302774563511e-06,0.9999999200339764,1.0000000573875585,0.1373535836142983,4.670524913101697e-07,0.04080177582164791,0.03278224455520679,3.585221906963905e-05,0.02222324205037547,0.018071564534954926,3.323114781102661,-1306.6712620553035,0.013263895772300827,-0.2364650470072833,2,1.2364650470072833,1.2394061008288635,1.172273236870303,64,64,64,1.2364650470072833,FAIL,True
58,9.957964724956662e-06,0.99999924364826,0.9999996173898804,0.3737418332685373,1.7456725004747453e-06,-0.0013372482473566207,-0.04437047297819444,3.462831992563684e-05,0.059316846673339654,0.04653723655106022,-0.015491065563019353,-1268.3517714733305,0.01326440470303512,-0.6820070407411799,2,1.6820070407411798,1.7101571079506157,1.599883557030256,191,191,192,1.6820070407411798,FAIL,True
59,1.0253380817341608e-05,1.0000011898143668,0.999999577670478,-1.6121432701817013,9.258316000172522e-07,0.003545698854988644,0.014302384512469804,7.154166689212167e-05,0.015536639774869273,0.012009035445973834,0.49063170008164503,-1302.8388386998602,0.013263946671673518,0.3783102355739019,0,0.6216897644260981,0.5277451980931623,0.4975956941127311,64,64,64,0.6216897644260981,PASS,True
60,9.979990095390772e-06,0.9999987415865417,0.9999987066422015,-0.03494438478427721,1.29209619415027e-06,-0.002105457275129367,0.009954872763308158,1.067619573566074e-05,0.018186159261142486,0.014979625124346061,-0.032206884932209585,-1176.9249443629449,0.01326561896558268,0.6284320884195483,0,0.42118264782008086,0.3839370889183316,0.381441957373213,64,63,64,0.42118264782008086,PASS,True
61,9.99106274759642e-06,1.0000009919526567,1.0000008745331206,-0.11741942651338726,1.0817614440206954e-06,0.008870043757117023,0.006029735357823957,5.4212977314403324e-05,0.005708412383819857,0.0035668703544208024,0.8560871763350519,-1199.1765078273042,0.013265323437005419,0.7580258499935164,0,0.2419741500064836,0.2031696014672239,0.1965853832536189,64,64,192,0.2419741500064836,PASS,True
62,9.730892995423487e-06,0.9999986720378082,1.0000008162383338,2.144201074197267,9.677112617800127e-07,-0.00971409339459402,0.015799355626886447,4.548816929463237e-05,0.030956468497369483,0.023709688910684923,-0.5786207989906449,-1245.7981223436,0.013264704243687624,0.4012471316271581,0,0.6154718266363857,0.6341962917638584,0.5979792514869189,64,63,64,0.6154718266363857,PASS,True
63,9.75501459498584e-06,0.999999213873668,1.0000010910884618,1.8772145075931816,8.643921279799945e-07,-0.0237033277561932,-0.026713528937643616,7.357354267196754e-05,0.029362813225025194,0.02328014420516562,-1.6020334722425138,-1291.993598773189,0.013264090710016293,-0.02372433287516825,1,1.0307882312669094,1.055084839725836,1.0066700580018575,191,192,192,1.0307882312669094,FAIL,True
64,1.0065156975486808e-05,1.0000004191401046,1.000000241812588,-0.17732745806801414,5.474714411140602e-07,-0.005357387148618425,0.03524750883126014,1.888995973387683e-05,0.04400953659503933,0.03677442947121948,-0.26560657344099486,-1320.7619711775865,0.013263708630070297,-0.28245220712381086,2,1.4141771728258838,1.3645702341433454,1.3128167072047912,64,63,64,1.4141771728258838,FAIL,True
65,1.0272936880835828e-05,1.0000016476405105,1.0000001713248297,-1.4763143381327708,1.2656730484811989e-06,-0.05665161946839131,-0.08452322818350416,4.605388906563043e-05,0.09382789755181019,0.07845948460588574,-4.130083902938713,-1290.0832105219306,0.013264116082360255,-2.1461453798564905,6,3.1760148423089207,3.2010600088211913,3.0547639338848778,191,192,192,3.1760148423089207,FAIL,True
66,9.813507302842296e-06,0.9999995674512704,1.000000839230959,1.271779429955801,7.401386726764943e-07,-0.0038279637977573847,0.004761617479263641,6.824586839712306e-05,0.013332571638947828,0.00735484146285382,-0.10631188410923521,-1216.658402588222,0.013265091255590625,0.7753516480056368,0,0.22464835199436317,0.2125374687044306,0.18051707626135718,64,64,64,0.22464835199436317,PASS,True
67,1.0169178470711495e-05,1.0000015003511966,1.0000004956972044,-1.0046529895523866,1.1834897972858884e-06,-0.036584518287048104,-0.015552888013618512,4.735534763444978e-05,0.007200474705539861,0.004265492234796076,-2.5925202938244873,-1265.2981304118737,0.013264445259205468,0.4608124247437338,0,0.6595377667791018,0.6316921722259364,0.6025334290755584,191,192,192,0.6595377667791018,PASS,True
68,9.616985950029365e-06,0.9999982744640307,1.0000010076013457,2.7331382961325317,1.2499440512373697e-06,-0.002617841717537745,-0.007305699334850027,6.533578668193609e-06,0.007903865858325972,0.0052227631283525405,-0.013992741155244163,-1233.4948269451252,0.013264867646829635,0.66144246577512,0,0.33855753422488,0.36907605039557406,0.319905230288937,191,191,192,0.33855753422488,PASS,True
69,9.968782685737194e-06,0.9999996826468681,0.999999786155469,0.10350862840445361,5.706738636177308e-07,-0.01532741122350335,-0.017658656724662027,5.696809794853379e-05,0.01919660155125053,0.014943535577470893,-0.9676173133590116,-1309.1339426980487,0.013263863064823541,0.34431688456809456,0,0.7151085811370657,0.6878734710914852,0.6544576113248153,191,192,64,0.7151085811370657,PASS,True
70,9.936891892221274e-06,1.000000342225035,1.0000007637885162,0.42156324810701135,6.286934281692878e-07,-0.013043132494278105,-0.04595611233848893,2.0842643042061956e-06,0.06500032041402554,0.054282345697584215,-0.7505761192987681,-1265.5984907428142,0.013264441270044822,-0.8355977600752555,2,1.8355977600752555,1.7853313055965465,1.7002593138342732,191,191,192,1.8355977600752555,FAIL,True
71,1.016053771549276e-05,1.0000009562776198,0.9999995572523683,-1.3990248922044828,7.314857609337602e-07,-0.01835463489973267,-0.024839752459114742,6.792497059386659e-05,0.0251229230619076,0.020299621048044534,-1.31993092062268,-1232.3287318505295,0.01326488313403011,0.09052843951299934,0,0.9094715604870006,0.913815458336498,0.8680858368189897,191,191,192,0.9094715604870006,PASS,True
72,1.0358343595060662e-05,1.0000017142170565,0.9999992229950481,-2.491220841059362,1.2190540653151725e-06,-0.02616706556588032,-0.04436821207102022,4.792954405594994e-05,0.04998453395703288,0.038157210673806716,-1.9260017837659322,-1188.096405816852,0.013265470594610244,-0.6526718834724138,2,1.6526718834724137,1.6276659653342187,1.547421006375245,191,191,64,1.6526718834724137,FAIL,True
73,1.0084240769266409e-05,1.000000315597039,1.0000001178938698,-0.19770312631786272,1.6453859663787862e-06,0.009648524438310487,1.2167530008220169e-05,4.3214792976305384e-05,0.008766109265393255,0.006633144372259628,0.9925921312828604,-1319.5237339879152,0.013263725075407972,0.8175013169145113,0,0.18249868308548867,0.16361216633022832,0.1453288293903053,127,127,175,0.18249868308548867,PASS,True
74,9.82792543753589e-06,0.9999988403421327,1.0000002040887055,1.3637472243574407,7.816050358196303e-07,-0.0034232906217904068,-0.005898844139622329,3.141711965583386e-05,0.014029455437408744,0.007890521666212865,-0.17070204421875868,-1290.3948375890816,0.01326411194356327,0.7632285114282911,0,0.23677148857170893,0.26509570551978345,0.2161022438353385,191,191,192,0.23677148857170893,PASS,True
75,9.784799012361967e-06,0.9999989531540034,1.0000005334275635,1.5802739656798963,1.748600701752816e-06,-0.027679796854639862,0.008835573422413376,4.6861629260293975e-05,0.025514460734552418,0.018299145802950906,-1.9386721459229883,-1284.9988809991996,0.01326418360861173,0.6309272501188177,0,0.3690727498811823,0.340137701771828,0.3391977878767335,64,64,64,0.3690727498811823,PASS,True
