variant,frames_per_point,frame_index,point_index,frame_role,vid_v,code_470,code_480,dout_stable_470_480,comparator_rise_count,dctrl_valid_update_count,dctrl_edge_cluster_count_diagnostic_only,dctrl_update_samples_bit_p_n,complete_v,invalid_v,timeout_v,valid,protocol_pass
CURRENT,2,0,0,CONDITIONING,-1.7044616699218753,0,0,True,8,7,8,7:0.345804573/3.30001727;6:3.98030523e-06/3.26668148;5:-1.24874551e-06/3.29965;4:-1.00646107e-07/3.29999983;3:-2.40483405e-08/3.29999994;2:-1.10753384e-08/3.29999994;1:-5.44577006e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,1,0,FORMAL,-1.7044616699218753,0,0,True,8,7,11,7:0.345695092/3.30001727;6:3.97757651e-06/3.26670129;5:-1.24728953e-06/3.29965041;4:-1.00489189e-07/3.29999983;3:-2.40258297e-08/3.29999994;2:-1.10703323e-08/3.29999994;1:-5.44182384e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,2,1,CONDITIONING,-1.6978210449218751,1,1,True,8,7,11,7:0.345748012/3.30001727;6:3.96621624e-06/3.26669125;5:-1.25375132e-06/3.29965021;4:-1.01696787e-07/3.29999984;3:-2.43321434e-08/3.29999994;2:-1.12032739e-08/3.29999994;1:-5.50663243e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,3,1,FORMAL,-1.6978210449218751,1,1,True,8,7,11,7:0.345693457/3.30001727;6:3.96489324e-06/3.26670101;5:-1.25300988e-06/3.29965042;4:-1.01613299e-07/3.29999984;3:-2.43208346e-08/3.29999994;2:-1.11983256e-08/3.29999994;1:-5.50440513e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,4,2,CONDITIONING,-0.8758361816406249,63,63,True,8,7,11,7:0.345707578/3.30001811;6:2.27498697e-06/3.26668428;5:3.29965277/-9.40983822e-07;4:3.29999985/-1.17733793e-07;3:3.29999994/-2.66208572e-08;2:3.29999994/-1.18267984e-08;1:3.29999995/-5.86079807e-09,3.3,0.0,0.0,True,True
CURRENT,2,5,2,FORMAL,-0.8758361816406249,63,63,True,8,7,11,7:0.34570757/3.3000181;6:2.27490327e-06/3.26668428;5:3.29965277/-9.41012403e-07;4:3.29999985/-1.17736177e-07;3:3.29999994/-2.66208577e-08;2:3.29999994/-1.18268646e-08;1:3.29999995/-5.86115484e-09,3.3,0.0,0.0,True,True
CURRENT,2,6,3,CONDITIONING,-0.869195556640625,64,64,True,8,7,11,7:0.345653042/3.3000181;6:3.26663603/2.90538189e-05;5:-1.1296756e-06/3.29965034;4:-1.03312605e-07/3.29999984;3:-2.40690034e-08/3.29999994;2:-1.10455968e-08/3.29999994;1:-5.4238775e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,7,3,FORMAL,-0.869195556640625,64,64,True,8,7,11,7:0.345653042/3.3000181;6:3.26663603/2.90537955e-05;5:-1.12967718e-06/3.29965034;4:-1.03312195e-07/3.29999984;3:-2.40687484e-08/3.29999994;2:-1.10454996e-08/3.29999994;1:-5.42393255e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,8,4,CONDITIONING,-0.020648193359375,127,127,True,8,7,11,7:0.345755272/3.30001875;6:3.26661408/3.05104403e-05;5:3.29965269/-1.06222962e-06;4:3.29999985/-1.13834587e-07;3:3.29999994/-2.61149857e-08;2:3.29999994/-1.16427889e-08;1:3.29999995/-5.775144e-09,3.3,0.0,0.0,True,True
CURRENT,2,9,4,FORMAL,-0.020648193359375,127,127,True,8,7,11,7:0.34575527/3.30001875;6:3.26661408/3.05105319e-05;5:3.29965269/-1.06220879e-06;4:3.29999985/-1.13834035e-07;3:3.29999994/-2.61157119e-08;2:3.29999994/-1.16433866e-08;1:3.29999995/-5.77502847e-09,3.3,0.0,0.0,True,True
CURRENT,2,10,5,CONDITIONING,-0.014007568359375002,128,128,True,8,7,11,7:3.30001862/0.345821642;6:3.06480437e-05/3.26666329;5:-1.02878358e-06/3.29964988;4:-1.09654434e-07/3.29999984;3:-2.50311243e-08/3.29999994;2:-1.14146195e-08/3.29999994;1:-5.59765282e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,11,5,FORMAL,-0.014007568359375002,128,128,True,8,7,11,7:3.30001862/0.345683858;6:3.06145286e-05/3.26669704;5:-1.02699322e-06/3.29965049;4:-1.09380921e-07/3.29999984;3:-2.49934464e-08/3.29999994;2:-1.13999724e-08/3.29999994;1:-5.59062795e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,12,6,CONDITIONING,0.8191833496093749,191,191,True,8,7,11,7:3.30001799/0.345839375;6:2.92746496e-05/3.26666325;5:3.29965271/-1.18226587e-06;4:3.29999984/-1.105839e-07;3:3.29999994/-2.59368822e-08;2:3.29999994/-1.16125817e-08;1:3.29999995/-5.76519321e-09,3.3,0.0,0.0,True,True
CURRENT,2,13,6,FORMAL,0.8191833496093749,191,191,True,8,7,11,7:3.30001799/0.345816753;6:2.92654669e-05/3.26667307;5:3.29965292/-1.18156442e-06;4:3.29999984/-1.10494183e-07;3:3.29999994/-2.59243856e-08;2:3.29999994/-1.16074378e-08;1:3.29999995/-5.76278935e-09,3.3,0.0,0.0,True,True
CURRENT,2,14,7,CONDITIONING,0.8258239746093748,192,192,True,8,7,11,7:3.30001798/0.34583952;6:3.26662875/2.02347332e-06;5:-9.01208247e-07/3.29964984;4:-1.12145327e-07/3.29999985;3:-2.51660759e-08/3.29999994;2:-1.14455924e-08/3.29999994;1:-5.60538024e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,15,7,FORMAL,0.8258239746093748,192,192,True,8,7,11,7:3.30001798/0.345784789;6:3.26663856/2.02273519e-06;5:-9.00679141e-07/3.29965004;4:-1.1205223e-07/3.29999985;3:-2.51531853e-08/3.29999994;2:-1.14403809e-08/3.29999994;1:-5.60297631e-09/3.29999995,3.3,0.0,0.0,True,True
CURRENT,2,16,8,CONDITIONING,1.663580322265625,254,254,True,8,7,11,7:3.30001714/0.345589117;6:3.26667788/3.77915514e-06;5:3.29965379/-1.29136649e-06;4:3.29999984/-1.0623532e-07;3:3.29999994/-2.55438471e-08;2:3.29999994/-1.15025313e-08;1:3.29999995/-5.71965413e-09,3.3,0.0,0.0,True,True
CURRENT,2,17,8,FORMAL,1.663580322265625,254,254,True,8,7,11,7:3.30001714/0.345589139;6:3.26667794/3.77917138e-06;5:3.29965379/-1.29136513e-06;4:3.29999984/-1.06236066e-07;3:3.29999994/-2.55458201e-08;2:3.29999994/-1.15026136e-08;1:3.29999995/-5.71953406e-09,3.3,0.0,0.0,True,True
CURRENT,2,18,9,CONDITIONING,1.670220947265625,255,255,True,8,7,11,7:3.30001714/0.345880692;6:3.2666281/3.79872854e-06;5:3.29965278/-1.28917957e-06;4:3.29999984/-1.05567379e-07;3:3.29999994/-2.53127184e-08;2:3.29999994/-1.13940983e-08;1:3.29999995/-5.66606785e-09,3.3,0.0,0.0,True,True
CURRENT,2,19,9,FORMAL,1.670220947265625,255,255,True,8,7,11,7:3.30001713/0.345607061;6:3.26667717/3.79236659e-06;5:3.29965381/-1.28533439e-06;4:3.29999984/-1.05143323e-07;3:3.29999994/-2.52518309e-08;2:3.29999994/-1.1369808e-08;1:3.29999995/-5.65428105e-09,3.3,0.0,0.0,True,True
