mismatch_seed,noise_seed,low_present,near_present,valid_die,hard_dynamic_pass_both,snr_budget_pass_both,preferred_nominal_pass_both,die_state,low_snr_db,low_sndr_db,low_enob_raw,low_sfdr_dbc,low_thd_db,low_state,low_hard_dynamic_pass,low_snr_budget_pass,near_snr_db,near_sndr_db,near_enob_raw,near_sfdr_dbc,near_thd_db,near_state,near_hard_dynamic_pass,near_snr_budget_pass,snr_worst_band,sndr_worst_band,enob_worst_band,snr_worst_band_name,sndr_worst_band_name,enob_worst_band_name
1,100001,True,True,True,False,False,False,VALID_FAIL,48.64751403750985,48.01213435571317,7.683078796630096,55.923969962231475,-56.67346156158462,VALID_PASS,True,True,32.89875335486649,32.29380699296834,5.0720609622871,45.34897245620102,-41.15344410241414,VALID_FAIL,False,False,32.89875335486649,32.29380699296834,5.0720609622871,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
2,100002,True,True,True,False,False,False,VALID_FAIL,45.57828300774726,44.4999247561066,7.0996552751007656,53.81088082441653,-51.078165495126875,VALID_FAIL,False,False,46.576356413151004,45.74773515456724,7.306932749928113,55.86028924221392,-53.34974274445745,VALID_FAIL,False,False,45.57828300774726,44.4999247561066,7.0996552751007656,LOW,LOW,LOW
3,100003,True,True,True,True,True,False,VALID_PASS,48.35983381424316,47.68955498872475,7.629494184173548,56.43855163344011,-56.13567299083095,VALID_PASS,True,True,48.73975619674986,48.20842449587638,7.71568513220538,55.77551719388361,-57.5955679728424,VALID_PASS,True,True,48.35983381424316,47.68955498872475,7.629494184173548,LOW,LOW,LOW
4,100004,True,True,True,True,True,False,VALID_PASS,48.203676679212386,47.29442044871674,7.563857217394808,54.21497696524569,-54.53209981964281,VALID_PASS,True,True,49.17622402101802,48.67262783369374,7.792795321211585,58.193493944068365,-58.279011826040225,VALID_PASS,True,True,48.203676679212386,47.29442044871674,7.563857217394808,LOW,LOW,LOW
5,100005,True,True,True,True,True,True,VALID_PASS,48.288071589736596,48.05113635149563,7.689557533471035,58.21718016449891,-60.80061193958639,VALID_PASS,True,True,48.667195865613934,48.094022524346485,7.696681482449583,58.046672050618355,-57.17244100821489,VALID_PASS,True,True,48.288071589736596,48.05113635149563,7.689557533471035,LOW,LOW,LOW
6,100006,True,True,True,True,False,False,VALID_PASS,48.813248375994654,48.227639902258815,7.718877060175884,58.20210920999021,-57.218924051116474,VALID_PASS,True,True,48.03197744867952,47.30292255032985,7.565269526632867,56.901807408989676,-55.41259251874255,VALID_PASS,True,False,48.03197744867952,47.30292255032985,7.565269526632867,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
7,100007,True,True,True,True,True,True,VALID_PASS,49.686708203198855,48.76761968954432,7.808574699259855,58.568084435533116,-55.963332329231775,VALID_PASS,True,True,48.44601311206087,47.85534402178291,7.657033890661614,57.7198059748971,-56.81173246070497,VALID_PASS,True,True,48.44601311206087,47.85534402178291,7.657033890661614,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
8,100008,True,True,True,False,False,False,VALID_FAIL,48.20606187980363,46.91810484742337,7.501346320169996,55.334652719239365,-52.825009357030524,VALID_PASS,True,True,32.91464754575238,32.29770087521308,5.072707786580247,45.78081523821521,-41.07788995042826,VALID_FAIL,False,False,32.91464754575238,32.29770087521308,5.072707786580247,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
9,100009,True,True,True,True,True,True,VALID_PASS,49.31129813338867,48.102056463293835,7.698016023802963,55.174243479518765,-54.245369292471246,VALID_PASS,True,True,48.608844636221995,48.34006569154778,7.737552440456443,55.177809871875915,-60.5576527565058,VALID_PASS,True,True,48.608844636221995,48.102056463293835,7.698016023802963,NEAR_NYQUIST,LOW,LOW
10,100010,True,True,True,True,True,True,VALID_PASS,49.02108940770265,48.37981076006837,7.744154611307039,57.13905648782722,-57.00388065372452,VALID_PASS,True,True,48.48929109397629,48.177297285721096,7.71051449928922,56.22358161456216,-59.768743699438744,VALID_PASS,True,True,48.48929109397629,48.177297285721096,7.71051449928922,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
