target_id,mismatch_seed,band,reasons,reference,code_exact,differing_frame_count,differing_frames,metric_exact,electrical_exact,current_state,reference_state,state_comparable,state_exact,current_maxstep_ps,reference_maxstep_ps,current_solver_profile,reference_solver_profile,same_execution_profile,current_snr_db,reference_snr_db,delta_snr_db,current_sndr_db,reference_sndr_db,delta_sndr_db,current_enob,reference_enob,delta_enob,current_sfdr_dbc,reference_sfdr_dbc,delta_sfdr_dbc,current_thd_db,reference_thd_db,delta_thd_db,mismatch_checksum_match,noise_checksum_match
S001_NEAR_NYQUIST,1,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,V7_MC200,False,1,0,False,False,VALID_PASS,VALID_FAIL,True,False,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,49.741017665466714,32.89875335486649,16.84226431060022,48.67516919975111,32.29380699296834,16.381362206782768,7.793217475041714,5.0720609622871,2.7211565127546136,57.42726140022434,45.34897245620102,12.07828894402332,-55.29808814838973,-41.15344410241414,-14.144644045975589,True,True
S001_NEAR_NYQUIST,1,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,V10_MC10,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,49.741017665466714,49.741017665466714,0.0,48.67516919975111,48.67516919975111,0.0,7.793217475041714,7.793217475041714,0.0,57.42726140022434,57.42726140022434,0.0,-55.29808814838973,-55.29808814838973,0.0,True,True
S008_NEAR_NYQUIST,8,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,V7_MC200,False,1,0,False,False,VALID_PASS,VALID_FAIL,True,False,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.464675132408665,32.91464754575238,15.550027586656284,47.70564684277183,32.29770087521308,15.407945967558746,7.632167249629872,5.072707786580247,2.5594594630496257,58.3276816937783,45.78081523821521,12.54686645556309,-55.6548984862716,-41.07788995042826,-14.57700853584334,True,True
S011_LOW,11,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,EARLY_MC200,True,0,,True,True,VALID_PASS,PASS,False,,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.947706510825995,48.947706510825995,0.0,47.84120620254207,47.84120620254207,0.0,7.654685415704663,7.654685415704663,0.0,56.80638139440323,56.80638139440323,0.0,-54.321043950617906,-54.321043950617906,0.0,,
S011_LOW,11,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,V7_MC200,False,1,1,False,False,VALID_PASS,VALID_FAIL,True,False,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.947706510825995,32.89301451116018,16.054691999665813,47.84120620254207,32.10063869823238,15.740567504309688,7.654685415704663,5.039973205686442,2.6147122100182214,56.80638139440323,44.70828084519266,12.09810054921057,-54.321043950617906,-39.87933553543323,-14.441708415184678,True,True
S016_LOW,16,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,EARLY_MC200,False,1,55,False,False,VALID_PASS,PASS,False,,50.0,100.0,ROBUST_GEAR,DEFAULT,False,49.010705155169305,49.10451058640609,-0.0938054312367882,47.6925252582365,47.86250243928179,-0.16997718104529014,7.6299875844246685,7.658222996558438,-0.028235412133769344,58.3258780821589,57.93136317442635,0.3945149077325496,-53.51305355923749,-53.90531553844539,0.39226197920790185,,
S016_LOW,16,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,V7_MC200,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,49.010705155169305,49.010705155169305,0.0,47.6925252582365,47.6925252582365,0.0,7.6299875844246685,7.6299875844246685,0.0,58.3258780821589,58.3258780821589,0.0,-53.51305355923749,-53.51305355923749,0.0,True,True
S021_LOW,21,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,EARLY_MC200,True,0,,True,True,VALID_FAIL,FAIL,False,,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,44.487548378671505,44.487548378671505,0.0,43.74131729432385,43.74131729432385,0.0,6.973640746565424,6.973640746565424,0.0,53.99212318997763,53.99212318997763,0.0,-51.758201325594996,-51.758201325594996,0.0,,
S021_LOW,21,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,V7_MC200,False,1,0,False,False,VALID_FAIL,VALID_FAIL,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,44.487548378671505,32.38641332040275,12.101135058268753,43.74131729432385,31.871876194629273,11.869441099694576,6.973640746565424,5.001972789805527,1.9716679567598971,53.99212318997763,44.67220705058483,9.319916139392802,-51.758201325594996,-41.39028098125844,-10.367920344336554,True,True
S021_LOW,21,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,V10_MC10,True,0,,True,True,VALID_FAIL,VALID_FAIL,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,44.487548378671505,44.487548378671505,0.0,43.74131729432385,43.74131729432385,0.0,6.973640746565424,6.973640746565424,0.0,53.99212318997763,53.99212318997763,0.0,-51.758201325594996,-51.758201325594996,0.0,True,True
