scope,metric,required_count,terminal_count,valid_count,unresolved_count,hard_pass_count,hard_fail_count,snr_budget_pass_count,snr_budget_fail_count,hard_pass_rate,hard_pass_exact_95ci_low,hard_pass_exact_95ci_high,mean,standard_deviation,p1,p5,p10,p50,p90,p95,p99,worst_observed,worst_seed
LOW,SNR,200,200,200,0,165,35,132,68,0.825,0.7651160293697908,0.8749755892262882,47.80715663725028,3.681074278258519,32.55189042905272,41.473898848756306,46.466303831560296,48.76068608419834,49.87856117974191,50.18860639871498,50.55305733035013,32.38641332040275,21
LOW,SNDR,200,200,200,0,165,35,132,68,0.825,0.7651160293697908,0.8749755892262882,46.99938506753967,3.61464138463441,32.04147201029618,40.62903567681349,45.979223761405265,47.93316699773802,48.83946892533237,49.155259239492196,49.31036640352476,31.770981863464577,123
LOW,ENOB,200,200,200,0,165,35,132,68,0.825,0.7651160293697908,0.8749755892262882,7.5148480178637325,0.6004387682116963,5.030144852208669,6.4566504446534045,7.345386006877952,7.6699612953053204,7.820509788261193,7.872966651078438,7.8987319607184,4.985212934130328,123
NEAR_NYQUIST,SNR,200,200,200,0,162,38,128,72,0.81,0.7486684813762559,0.8618968746271604,47.79891003482215,3.1917756042586363,32.896197478124314,45.206620587471576,46.76358169972903,48.496635134744295,49.470608138590386,49.785064386925306,50.05984196412075,26.57141814777209,74
NEAR_NYQUIST,SNDR,200,200,200,0,162,38,128,72,0.81,0.7486684813762559,0.8618968746271604,47.16916359466022,3.1729743002338995,32.291511321324045,44.83847634287068,46.114963854641985,47.918020837408136,48.714875216621735,48.94226153575115,49.03906832834436,25.9986016902694,74
NEAR_NYQUIST,ENOB,200,200,200,0,162,38,128,72,0.81,0.7486684813762559,0.8618968746271604,7.543050431006682,0.5270721428959967,5.0716796214824,7.155893080211078,7.367934195123255,7.667445321828596,7.7998131589072655,7.837584972716139,7.85366583527315,4.026345795725814,74
WORST_BAND,SNR,200,200,200,0,144,56,96,104,0.72,0.6523112627953918,0.781038844329967,46.70877704283778,4.488435299925908,32.42915159459561,32.892305098110896,45.041094126049146,48.07472117680899,49.066699375751284,49.24416157690307,49.45193602233138,26.57141814777209,74
WORST_BAND,SNDR,200,200,200,0,144,56,96,104,0.72,0.6523112627953918,0.781038844329967,46.06075646798153,4.477546667533155,31.870867251317627,32.275453181444526,44.1806167285228,47.51227119491007,48.31009834445954,48.501596355153026,48.69945549962331,25.9986016902694,74
WORST_BAND,ENOB,200,200,200,0,144,56,96,104,0.72,0.6523112627953918,0.781038844329967,7.358929645844107,0.743778516201521,5.001805191248775,5.069012156386134,7.046614074505449,7.600045048988385,7.732574475823846,7.764384776603494,7.797251744123474,4.026345795725814,74
