band,role,mismatch_seed,noise_seed,percentile,selection_scope,target_percentile_sndr_db,selected_distance_from_percentile_db,sndr_db,snr_db,enob_raw,sfdr_dbc,code_checksum_sha256,source_csv,pdf,png
LOW,P5_WORST_BAND_SNDR,129,100129,5,WORST_BAND,32.275453181444526,0.0005754565021121039,32.27602863794664,32.83429824817798,5.069107747167216,45.65439968811646,ab4375f3d7ad8bf1f93f60c31a6b4f83d0426517c46bdd06c517facae071599e,plots/spectrum_low_s129_p5_worst_band_sndr.csv,plots/spectrum_low_s129_p5_worst_band_sndr.pdf,plots/spectrum_low_s129_p5_worst_band_sndr.png
LOW,P1_WORST_BAND_SNDR,21,100021,1,WORST_BAND,31.870867251317627,0.0010089433116462487,31.871876194629273,32.38641332040275,5.001972789805527,44.67220705058483,6c824087c9faa869dd988947e7c16a2eba8bcf9bb5cb7fc2b24f3428fb0197cc,plots/spectrum_low_s021_p1_worst_band_sndr.csv,plots/spectrum_low_s021_p1_worst_band_sndr.pdf,plots/spectrum_low_s021_p1_worst_band_sndr.png
NEAR_NYQUIST,P10_WORST_BAND_SNDR,183,100183,10,WORST_BAND,44.1806167285228,0.06987957150456481,44.250496300027365,45.110767832732606,7.058221976748732,53.41134629404447,bf15be4ce5d21cfdd74c70834eba5cb3b51dc2b0e1744c6983bd78af8a0b7d30,plots/spectrum_near_nyquist_s183_p10_worst_band_sndr.csv,plots/spectrum_near_nyquist_s183_p10_worst_band_sndr.pdf,plots/spectrum_near_nyquist_s183_p10_worst_band_sndr.png
