code,width_v,width_mV,width_lsb,dnl_ep_lsb
1,0.013337827667476487,13.337827667476487,1.00586876155267,0.005868761552670021
2,0.01372692678857046,13.72692678857046,1.0352125693160878,0.03521256931608785
3,0.01294872854638296,12.94872854638296,0.9765249537892855,-0.0234750462107145
4,0.013415647491695548,13.415647491695548,1.0117375231053736,0.01173752310537357
5,0.01326000784325787,13.26000784325787,0.9999999999999998,-2.220446049250313e-16
6,0.013571287140132782,13.571287140132782,1.0234750462107138,0.023475046210713835
7,0.01248180960107037,12.48180960107037,0.9413123844731975,-0.05868761552680246
8,0.013415647491695104,13.415647491695104,1.01173752310534,0.011737523105340042
9,0.01326000784325787,13.26000784325787,0.9999999999999998,-2.220446049250313e-16
10,0.013571287140133226,13.571287140133226,1.0234750462107474,0.023475046210747363
11,0.012948728546382515,12.948728546382515,0.9765249537892521,-0.02347504621074792
12,0.013415647491695548,13.415647491695548,1.0117375231053736,0.01173752310537357
13,0.013415647491695548,13.415647491695548,1.0117375231053736,0.01173752310537357
14,0.013571287140132782,13.571287140132782,1.0234750462107138,0.023475046210713835
15,0.01170361135888287,11.70361135888287,0.8826247689463953,-0.1173752310536047
16,0.01403820608544537,14.03820608544537,1.058687615526802,0.058687615526801906
17,0.013415647491695104,13.415647491695104,1.01173752310534,0.011737523105340042
18,0.013571287140133226,13.571287140133226,1.0234750462107474,0.023475046210747363
19,0.012948728546382515,12.948728546382515,0.9765249537892521,-0.02347504621074792
20,0.013415647491695548,13.415647491695548,1.0117375231053736,0.01173752310537357
21,0.01326000784325787,13.26000784325787,0.9999999999999998,-2.220446049250313e-16
22,0.01372692678857046,13.72692678857046,1.0352125693160878,0.03521256931608785
23,0.012326169952632693,12.326169952632693,0.9295748613678236,-0.07042513863217637
24,0.013415647491695548,13.415647491695548,1.0117375231053736,0.01173752310537357
25,0.013415647491695548,13.415647491695548,1.0117375231053736,0.01173752310537357
26,0.013571287140132782,13.571287140132782,1.0234750462107138,0.023475046210713835
27,0.01294872854638296,12.94872854638296,0.9765249537892855,-0.0234750462107145
28,0.013415647491695104,13.415647491695104,1.01173752310534,0.011737523105340042
29,0.01326000784325787,13.26000784325787,0.9999999999999998,-2.220446049250313e-16
30,0.013571287140133226,13.571287140133226,1.0234750462107474,0.023475046210747363
31,0.01092541311669537,10.92541311669537,0.8239371534195931,-0.17606284658040694
32,0.01559460256982037,15.59460256982037,1.1760628465804064,0.17606284658040638
33,0.01326000784325787,13.26000784325787,0.9999999999999998,-2.220446049250313e-16
34,0.01372692678857046,13.72692678857046,1.0352125693160878,0.03521256931608785
35,0.012793088897945282,12.793088897945282,0.9647874306839117,-0.035212569316088294
