input_diff_v,output_code,point_role
-1.7077713613435,0,extrapolated_low
-1.70114135742188,1,measured_transition
-1.6878035297544,2,measured_transition
-1.67407660296583,3,measured_transition
-1.66112787441945,4,measured_transition
-1.64771222692775,5,measured_transition
-1.63445221908449,6,measured_transition
-1.62088093194436,7,measured_transition
-1.60839912234329,8,measured_transition
-1.59498347485159,9,measured_transition
-1.58172346700834,10,measured_transition
-1.5681521798682,11,measured_transition
-1.55520345132182,12,measured_transition
-1.54178780383012,13,measured_transition
-1.52837215633843,14,measured_transition
-1.5148008691983,15,measured_transition
-1.50309725783941,16,measured_transition
-1.48905905175397,17,measured_transition
-1.47564340426227,18,measured_transition
-1.46207211712214,19,measured_transition
-1.44912338857576,20,measured_transition
-1.43570774108406,21,measured_transition
-1.4224477332408,22,measured_transition
-1.40872080645223,23,measured_transition
-1.3963946364996,24,measured_transition
-1.3829789890079,25,measured_transition
-1.36956334151621,26,measured_transition
-1.35599205437608,27,measured_transition
-1.34304332582969,28,measured_transition
-1.329627678338,29,measured_transition
-1.31636767049474,30,measured_transition
-1.30279638335461,31,measured_transition
-1.29187097023791,32,measured_transition
-1.27627636766809,33,measured_transition
-1.26301635982483,34,measured_transition
-1.24928943303626,35,measured_transition
-1.23649634413832,36,measured_transition
-1.22308069664662,37,measured_transition
-1.20966504915493,38,measured_transition
-1.19407044658511,39,measured_transition
-1.18081043874185,40,measured_transition
-1.16755043089859,41,measured_transition
-1.15429042305533,42,measured_transition
-1.14103041521208,43,measured_transition
-1.12777040736882,44,measured_transition
-1.11451039952556,45,measured_transition
-1.1012503916823,46,measured_transition
-1.08799038383904,47,measured_transition
-1.07831008790985,48,measured_transition
-1.06147036815253,49,measured_transition
-1.04821036030927,50,measured_transition
-1.03495035246601,51,measured_transition
-1.02169034462275,52,measured_transition
-1.0084303367795,53,measured_transition
-0.995170328936239,54,measured_transition
-0.981910321092981,55,measured_transition
-0.968650313249723,56,measured_transition
-0.955390305406466,57,measured_transition
-0.942130297563208,58,measured_transition
-0.92887028971995,59,measured_transition
-0.915610281876692,60,measured_transition
-0.902350274033434,61,measured_transition
-0.889090266190176,62,measured_transition
-0.878009213425043,63,measured_transition
-0.872375548355223,64,measured_transition
-0.851489197738528,65,measured_transition
-0.838073550246832,66,measured_transition
-0.824502263106699,67,measured_transition
-0.811553534560316,68,measured_transition
-0.798137887068621,69,measured_transition
-0.784877879225363,70,measured_transition
-0.771150952436793,71,measured_transition
-0.75882478248416,72,measured_transition
-0.745409134992465,73,measured_transition
-0.731993487500769,74,measured_transition
-0.718422200360636,75,measured_transition
-0.705473471814253,76,measured_transition
-0.692057824322558,77,measured_transition
-0.6787978164793,78,measured_transition
-0.665226529339167,79,measured_transition
-0.653522917980285,80,measured_transition
-0.639484711894839,81,measured_transition
-0.626069064403144,82,measured_transition
-0.612497777263011,83,measured_transition
-0.599549048716628,84,measured_transition
-0.586133401224933,85,measured_transition
-0.572873393381675,86,measured_transition
-0.559146466593104,87,measured_transition
-0.546820296640471,88,measured_transition
-0.533404649148776,89,measured_transition
-0.519989001657081,90,measured_transition
-0.506417714516948,91,measured_transition
-0.493468985970565,92,measured_transition
-0.48005333847887,93,measured_transition
-0.466793330635612,94,measured_transition
-0.453222043495479,95,measured_transition
-0.442452270027221,96,measured_transition
-0.426702027808963,97,measured_transition
-0.412975101020393,98,measured_transition
-0.399715093177135,99,measured_transition
-0.386455085333877,100,measured_transition
-0.373195077490619,101,measured_transition
-0.359935069647361,102,measured_transition
-0.346519422155666,103,measured_transition
-0.334193252203033,104,measured_transition
