category,mismatch_seed,noise_seed,band,frame_index,ideal_vid_v,commanded_vid_v,code,bits,valid,invalid_v,timeout_v,complete_time_s,measurement_stem
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,34,-1.0127819771128357,-1.012818514698205,52,00110100,True,0.0,0.0,1.73755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,35,-0.08095483381425642,-0.08098575489881336,122,01111010,True,0.0,0.0,1.78755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,36,0.8876241115355172,0.8876480666077592,194,11000010,True,0.0,0.0,1.83755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,37,1.453240267561782,1.4531868705195834,237,11101101,True,0.0,0.0,1.88755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,38,1.3591157246103238,1.359170463654316,230,11100110,True,0.0,0.0,1.93755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,39,0.6479810573451193,0.6479741231079473,177,10110001,True,0.0,0.0,1.98755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,40,-0.3573234627926919,-0.357306008473645,100,01100100,True,0.0,0.0,2.03755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,41,-1.2004106012861624,-1.2003844071313987,37,00100101,True,0.0,0.0,2.08755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,42,-1.4985364234506107,-1.4986410346602852,15,00001111,True,0.0,0.0,2.13755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,43,-1.116358038858104,-1.116306013441672,44,00101100,True,0.0,0.0,2.18755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,44,-0.22737644401505985,-0.22751457399565644,111,01101111,True,0.0,0.0,2.23755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,45,0.7648293027139195,0.7648064745245092,185,10111001,True,0.0,0.0,2.28755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,46,1.4098185360870479,1.4098712139875254,234,11101010,True,0.0,0.0,2.33755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,47,1.414779628765761,1.4148799237053138,234,11101010,True,0.0,0.0,2.38755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,48,0.7774603483941213,0.7775382460259709,186,10111010,True,0.0,0.0,2.43755e-05,formal_s001_low_050ps
D3_NOISE_PLUS_MISMATCH_MC200,1,100001,LOW,49,-0.2128096759983695,-0.21281107634352295,111,01101111,True,0.0,0.0,2.48755e-05,formal_s001_low_050ps
