utc_started,job,variant,stage,points,frames,frames_per_point,maxstep_ps,elapsed_s,peak_rss_kb,returncode,cached,timed_out,simulation_aborted,retry
2026-07-28T07:20:27.311480+00:00,current_full_transition_bis05_f2_sh004,CURRENT,full_transition_bis05,32,64,2,50,64.51545341906603,135556,0,False,False,False,False
2026-07-28T07:20:28.512963+00:00,current_full_transition_bis05_f2_sh005,CURRENT,full_transition_bis05,32,64,2,50,64.00630605209153,135720,0,False,False,False,False
2026-07-28T07:21:31.859101+00:00,current_full_transition_bis05_f2_sh006,CURRENT,full_transition_bis05,31,62,2,50,57.27046128700022,132060,0,False,False,False,False
2026-07-28T07:22:29.172544+00:00,current_full_transition_bis06_f2_sh000,CURRENT,full_transition_bis06,32,64,2,50,64.1210252949968,135476,0,False,False,False,False
2026-07-28T07:22:29.172689+00:00,current_full_transition_bis06_f2_sh001,CURRENT,full_transition_bis06,32,64,2,50,65.22546925197821,135608,0,False,False,False,False
2026-07-28T07:23:34.429465+00:00,current_full_transition_bis06_f2_sh003,CURRENT,full_transition_bis06,32,64,2,50,63.305552009958774,135612,0,False,False,False,False
2026-07-28T07:23:33.327006+00:00,current_full_transition_bis06_f2_sh002,CURRENT,full_transition_bis06,32,64,2,50,64.51213136606384,135664,0,False,False,False,False
2026-07-28T07:24:37.872942+00:00,current_full_transition_bis06_f2_sh005,CURRENT,full_transition_bis06,32,64,2,50,63.01890537398867,135736,0,False,False,False,False
2026-07-28T07:24:37.769878+00:00,current_full_transition_bis06_f2_sh004,CURRENT,full_transition_bis06,32,64,2,50,63.417468767031096,135476,0,False,False,False,False
2026-07-28T07:25:40.919101+00:00,current_full_transition_bis06_f2_sh006,CURRENT,full_transition_bis06,31,62,2,50,56.368305032956414,132212,0,False,False,False,False
