job_id,phase,role,category,mismatch_seed,noise_mode,noise_seed,band,pvt,warmup_frames,total_frames,retained_frame_start,retained_frame_end,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,returncode,elapsed_s,overall_status,completed_utc
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S053_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,REFERENCE_CONTROL,53,ON,100053,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,REFERENCE_CONTROL,132,ON,100132,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S096_LOW_W4,P5_PVT_SS_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,REFERENCE_CONTROL,96,ON,100096,LOW,SS_3P0_125C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P6_PVT_FF_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,44,ON,100044,LOW,FF_3P6_M40C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,P6_PVT_FF_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,26,ON,100026,LOW,FF_3P6_M40C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S065_LOW_W4,P6_PVT_FF_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,65,ON,100065,LOW,FF_3P6_M40C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,P6_PVT_FF_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,21,ON,100021,LOW,FF_3P6_M40C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,P6_PVT_FF_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,36,ON,100036,LOW,FF_3P6_M40C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S002_LOW_W4,P6_PVT_FF_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,2,ON,100002,LOW,FF_3P6_M40C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,P6_PVT_FF_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,DEEP_TAIL,12,ON,100012,LOW,FF_3P6_M40C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,PENDING,,,,
