job_id,phase,role,category,mismatch_seed,noise_mode,noise_seed,band,pvt,warmup_frames,total_frames,retained_frame_start,retained_frame_end,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,returncode,elapsed_s,overall_status,completed_utc
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,12,ON,100012,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,82.73377461102791,PASS_FAST64_COMPLETE,2026-07-28T04:02:51.984715+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S013_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,13,ON,100013,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,77.90107659902424,PASS_FAST64_COMPLETE,2026-07-28T04:04:08.101389+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S014_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,14,ON,100014,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,77.77233054803219,PASS_FAST64_COMPLETE,2026-07-28T04:04:08.185115+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S015_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,15,ON,100015,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,77.58025724499021,PASS_FAST64_COMPLETE,2026-07-28T04:04:08.480840+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S016_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,16,ON,100016,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,78.49755968002137,PASS_FAST64_COMPLETE,2026-07-28T04:04:10.504187+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S017_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,17,ON,100017,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,77.37723206996452,PASS_FAST64_COMPLETE,2026-07-28T04:05:25.502164+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S018_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,18,ON,100018,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,78.28855170903262,PASS_FAST64_COMPLETE,2026-07-28T04:05:26.490492+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S019_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,19,ON,100019,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,77.81645081599709,PASS_FAST64_COMPLETE,2026-07-28T04:05:26.313050+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S020_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,20,ON,100020,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,77.59800351795275,PASS_FAST64_COMPLETE,2026-07-28T04:05:28.129183+00:00
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_MC200_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_D3_NOISE_PLUS_MISMATCH_MC200_W4,21,ON,100021,LOW,TT_3P3_27C,4,68,4,67,64,7,218750.0,50,ROBUST_GEAR,True,COMPLETE,0,75.6637878830079,PASS_FAST64_COMPLETE,2026-07-28T04:06:41.186182+00:00
