model,amplitude_fs_peak,case,bin,phase_rad,Psignal,Pqn,Pqd,SQNR_total_TD_dB,SQNR_spectral_dB,SQDR_dB,SQNDR_dB,SNR_dB,SNDR_dB,SFDR_dB,THD_dB,ENOB_bit,closure_error_db
direct,0.8823529411764706,low_frequency,997,1.11,1.1244359177697647,1.4533297294553106e-05,2.745479653776202e-07,48.7859084704358,48.88570552178691,66.12316480207993,48.804428423447504,48.88570552178691,48.804428423447504,67.12341460784,-66.12316480207993,7.814689106884968,1.928654933106574e-15
sar,0.8823529411764706,low_frequency,997,1.11,1.1244359177697647,1.4533297294553106e-05,2.745479653776202e-07,48.7859084704358,48.88570552178691,66.12316480207993,48.804428423447504,48.88570552178691,48.804428423447504,67.12341460784,-66.12316480207993,7.814689106884968,1.928654933106574e-15
oracle,0.8823529411764706,low_frequency,997,1.11,1.1244359177697647,1.4533297294553106e-05,2.745479653776202e-07,48.7859084704358,48.88570552178691,66.12316480207993,48.804428423447504,48.88570552178691,48.804428423447504,67.12341460784,-66.12316480207993,7.814689106884968,1.928654933106574e-15
