model,amplitude_fs_peak,case,bin,phase_rad,Psignal,Pqn,Pqd,SQNR_total_TD_dB,SQNR_spectral_dB,SQDR_dB,SQNDR_dB,SNR_dB,SNDR_dB,SFDR_dB,THD_dB,ENOB_bit,closure_error_db
direct,0.0625,near_nyquist,32113,0.37,0.005459992541987715,1.1370927757651493e-05,3.698773895056658e-06,25.31436849309887,26.813961491259654,31.69134265650872,25.590873951714368,26.813961491259654,25.590873951714368,35.02943748814846,-31.69134265650872,3.9586169355007255,0.0
sar,0.0625,near_nyquist,32113,0.37,0.005459992541987715,1.1370927757651493e-05,3.698773895056658e-06,25.31436849309887,26.813961491259654,31.69134265650872,25.590873951714368,26.813961491259654,25.590873951714368,35.02943748814846,-31.69134265650872,3.9586169355007255,0.0
oracle,0.0625,near_nyquist,32113,0.37,0.005459992541987715,1.1370927757651493e-05,3.698773895056658e-06,25.31436849309887,26.813961491259654,31.69134265650872,25.590873951714368,26.813961491259654,25.590873951714368,35.02943748814846,-31.69134265650872,3.9586169355007255,0.0
