model,amplitude_fs_peak,case,bin,phase_rad,Psignal,Pqn,Pqd,SQNR_total_TD_dB,SQNR_spectral_dB,SQDR_dB,SQNDR_dB,SNR_dB,SNDR_dB,SFDR_dB,THD_dB,ENOB_bit,closure_error_db
direct,0.125,low_frequency,997,1.11,0.022315227758944043,1.2838922238477549e-05,2.438272678706643e-06,31.482948242396898,32.40072755324308,39.61519051459201,31.645577041016985,32.40072755324308,31.645577041016985,44.22315125802651,-39.61519051459201,4.964381568275247,9.64327466553287e-16
sar,0.125,low_frequency,997,1.11,0.022315227758944043,1.2838922238477549e-05,2.438272678706643e-06,31.482948242396898,32.40072755324308,39.61519051459201,31.645577041016985,32.40072755324308,31.645577041016985,44.22315125802651,-39.61519051459201,4.964381568275247,9.64327466553287e-16
oracle,0.125,low_frequency,997,1.11,0.022315227758944043,1.2838922238477549e-05,2.438272678706643e-06,31.482948242396898,32.40072755324308,39.61519051459201,31.645577041016985,32.40072755324308,31.645577041016985,44.22315125802651,-39.61519051459201,4.964381568275247,9.64327466553287e-16
