pvt,record_count,baseline_hard_dynamic_pass_count,resized_hard_dynamic_pass_count,hard_fail_to_pass_count,hard_pass_to_fail_count,baseline_snr_budget_pass_count,resized_snr_budget_pass_count,snr_fail_to_pass_count,snr_pass_to_fail_count,baseline_SNR_dB_P50,resized_SNR_dB_P50,delta_SNR_dB_P0,delta_SNR_dB_P10,delta_SNR_dB_P50,delta_SNR_dB_P90,delta_SNR_dB_P100,baseline_SNDR_dB_P50,resized_SNDR_dB_P50,delta_SNDR_dB_P0,delta_SNDR_dB_P10,delta_SNDR_dB_P50,delta_SNDR_dB_P90,delta_SNDR_dB_P100,baseline_ENOB_raw_bit_P50,resized_ENOB_raw_bit_P50,delta_ENOB_raw_bit_P0,delta_ENOB_raw_bit_P10,delta_ENOB_raw_bit_P50,delta_ENOB_raw_bit_P90,delta_ENOB_raw_bit_P100,baseline_SFDR_dBc_P50,resized_SFDR_dBc_P50,delta_SFDR_dBc_P0,delta_SFDR_dBc_P10,delta_SFDR_dBc_P50,delta_SFDR_dBc_P90,delta_SFDR_dBc_P100,baseline_THD_dB_P50,resized_THD_dB_P50,delta_THD_dB_P0,delta_THD_dB_P10,delta_THD_dB_P50,delta_THD_dB_P90,delta_THD_dB_P100,baseline_HD2_dBc_P50,resized_HD2_dBc_P50,delta_HD2_dBc_P0,delta_HD2_dBc_P10,delta_HD2_dBc_P50,delta_HD2_dBc_P90,delta_HD2_dBc_P100,baseline_HD3_dBc_P50,resized_HD3_dBc_P50,delta_HD3_dBc_P0,delta_HD3_dBc_P10,delta_HD3_dBc_P50,delta_HD3_dBc_P90,delta_HD3_dBc_P100
TT_3P3_27C,20,14,19,6,1,10,18,8,0,48.2166063292092,49.16520013371046,-1.1695082705324396,-0.27473533835741504,1.1290738445953252,3.584774166964313,6.332871270859954,47.45592499888263,48.40483182082449,-1.3102463064441494,-0.3976770827926181,0.9217182825889729,3.695436515423512,5.7507184643724045,7.590685215761235,7.748310933691776,-0.21764888811364624,-0.06605931607850861,0.15310934926727127,0.6138598862829757,0.955268847902393,56.00794606864189,56.93485715827738,-3.886548045499673,-1.0583360385383165,0.8946574467218333,3.1589532931462645,4.50206793697707,-56.63857117277402,-56.88465756466006,-9.282522522374322,-4.3588744473406935,-0.13858612849249852,3.1948333973956307,7.8929077185006875,-66.63816050862931,-68.77547561131513,-20.63151193124908,-7.272888727409326,-2.484338724746145,4.823645061171981,31.643014917699844,-66.26541356283676,-64.17640904638687,-14.07587126069312,-10.704817592547576,2.569928456635793,16.29416717861521,23.41403204982877
SS_3P0_125C,20,18,20,2,0,16,19,4,1,48.75560193336838,48.963942212696736,-1.447648922023241,-1.1250432894831746,-0.054308922559314965,2.099353877059898,2.6207009420905223,48.24352054856624,48.3026100067823,-1.6368792325811512,-1.1676156619017901,-0.13461956045613377,2.106326639499515,2.700726016220642,7.721515041290073,7.7313305659106835,-0.27190684926597175,-0.19395609001690833,-0.02236205323191598,0.34988814609626506,0.44862558408980835,56.961344095013004,56.66673963437596,-3.75011829835654,-2.8159154924007304,0.15255287941616658,2.784482882919263,3.772476898124296,-57.28202763674101,-56.89921926835055,-4.2669065243527555,-3.427318702861545,0.16476923874444083,4.63312927888118,5.540525483963144,-65.44736146700428,-64.42868322480028,-19.635644624145492,-12.093894529605565,0.033531121489993154,6.980068989395409,14.583254864768648,-68.39720754530238,-63.244233270999786,-8.000680079119448,-3.767885712999246,5.509182950038372,12.612623484871033,18.808847855841535
FF_3P6_M40C,20,2,20,18,0,1,18,17,0,44.76387870727371,49.35042687815687,1.1570512079091415,1.4423538443934043,5.284938308824859,7.769404852852953,8.601137611615897,44.146322948335744,48.60098099794225,1.1779344973975583,2.0558324039967646,4.755649572593164,7.639828102978468,8.704872373650701,7.040917433278364,7.78089385347878,0.19567018229195288,0.3415003993350104,0.7899750120586648,1.269074435710709,1.445992088646296,52.716971174625606,57.28360643544639,0.7642667142822432,1.2759698930033978,4.656354331439356,6.722401492050144,9.547066679580745,-52.01701332511731,-55.92550698639943,-9.916528161796705,-7.9306322795735,-4.55097734182182,1.842460984746983,3.8966267848750604,-62.852117322754566,-68.31483780258081,nan,-16.924033693660306,-7.444354233504164,3.789614163037689,14.93136252706033,-57.879868494296204,-64.17026866122093,-15.266152658385494,-13.91076250590891,-7.793482273441114,1.8659982031390105,7.541861204216374
