pvt,process_section,mim_section,vdd_v,temp_c,record_count,execution_complete_count,frame0_protocol_pass_count,hard_dynamic_pass_count,snr_budget_pass_count,SNR_dB_P0,SNR_dB_P1,SNR_dB_P5,SNR_dB_P10,SNR_dB_P50,SNR_dB_P90,SNR_dB_P95,SNR_dB_P99,SNR_dB_P100,SNDR_dB_P0,SNDR_dB_P1,SNDR_dB_P5,SNDR_dB_P10,SNDR_dB_P50,SNDR_dB_P90,SNDR_dB_P95,SNDR_dB_P99,SNDR_dB_P100,ENOB_raw_bit_P0,ENOB_raw_bit_P1,ENOB_raw_bit_P5,ENOB_raw_bit_P10,ENOB_raw_bit_P50,ENOB_raw_bit_P90,ENOB_raw_bit_P95,ENOB_raw_bit_P99,ENOB_raw_bit_P100,SFDR_dBc_P0,SFDR_dBc_P1,SFDR_dBc_P5,SFDR_dBc_P10,SFDR_dBc_P50,SFDR_dBc_P90,SFDR_dBc_P95,SFDR_dBc_P99,SFDR_dBc_P100,THD_dB_P0,THD_dB_P1,THD_dB_P5,THD_dB_P10,THD_dB_P50,THD_dB_P90,THD_dB_P95,THD_dB_P99,THD_dB_P100,HD2_dBc_P0,HD2_dBc_P1,HD2_dBc_P5,HD2_dBc_P10,HD2_dBc_P50,HD2_dBc_P90,HD2_dBc_P95,HD2_dBc_P99,HD2_dBc_P100,HD3_dBc_P0,HD3_dBc_P1,HD3_dBc_P5,HD3_dBc_P10,HD3_dBc_P50,HD3_dBc_P90,HD3_dBc_P95,HD3_dBc_P99,HD3_dBc_P100
TT_3P3_27C,typical,mimcap_typical,3.3,27,20,20,20,19,18,47.785596903734096,47.79769510071253,47.846087888626265,48.435589903485294,49.16520013371046,50.367667665578765,50.85730830392611,50.88940706760868,50.89743175852932,46.873517902275346,46.99278573007618,47.46985704127951,47.98544032012305,48.40483182082449,49.159076889722876,49.49996662093566,49.855441233010964,49.94430988602979,7.493939850876304,7.513751782404682,7.592999508518192,7.678644571449012,7.748310933691776,7.873600812246326,7.930227013444462,7.989275952327403,8.004038187048138,54.12081424979209,54.155806218817865,54.295774094920965,54.536341835436524,56.93485715827738,58.783115309120845,58.845821563594384,59.50692954577823,59.67220654132419,-63.38245318052324,-62.64134813542321,-59.676927955023075,-59.14416237361064,-56.88465756466006,-54.247802284125136,-53.8206535701805,-53.57667113218153,-53.51567552268179,-82.8410844540879,-81.5702486475049,-76.48690542117284,-74.45831640575595,-68.77547561131513,-60.85742246654445,-60.381313217399274,-60.37764560837436,-60.37672870611813,-74.2925973686589,-74.15688742314403,-73.61404764108454,-71.73957495302916,-64.17640904638687,-59.66351052556054,-59.45290057310973,-57.44124425232534,-56.938330172129234
SS_3P0_125C,ss,mimcap_ss,3.0,125,20,20,20,20,19,47.92486852881574,48.00316253744086,48.31633857194131,48.39122368256005,48.963942212696736,49.97250845126895,50.64109790884704,50.821777559548615,50.86694747222401,47.24000029480123,47.27298352347127,47.40491643815142,47.422535127035204,48.3026100067823,49.03051133980887,49.18756430816786,49.6859180253187,49.81050645460641,7.5548173247178125,7.560296266357354,7.582212032915519,7.585138725421131,7.7313305659106835,7.852244408606125,7.878332941556122,7.961115951049619,7.981811703422993,54.32919604506445,54.340971437759684,54.388073008540616,55.17782709203845,56.66673963437596,58.57152453627745,58.79821887523294,59.346257335389765,59.48326695042897,-60.874000337735836,-60.71325382151826,-60.07026775664794,-59.77856420671848,-56.89921926835055,-53.44564605697134,-53.2153087932259,-53.19646411200467,-53.19175294169936,-82.84213040535057,-81.85151336209037,-77.88904518904954,-70.93028832369555,-64.42868322480028,-61.85776148207144,-61.47019535731278,-61.31721988720063,-61.27897601967259,-84.00439268838959,-82.03094905504018,-74.13717452164259,-71.74352622824722,-63.244233270999786,-58.64169490499493,-55.300247944971495,-54.572987025867896,-54.391171796091996
FF_3P6_M40C,ff,mimcap_ff,3.6,-40,20,20,20,20,18,47.88961044465104,47.93476249606145,48.115370701703085,48.577445331875275,49.35042687815687,50.437285795121106,50.71112788443057,50.86017098370957,50.89743175852932,47.2567071638436,47.29292157561671,47.437779222709146,47.828889661644,48.60098099794225,49.19754082389001,49.70229536395463,49.99484434900938,50.06798159527307,7.55759255213349,7.563608235152278,7.587670967227434,7.652639478678406,7.78089385347878,7.879990170081398,7.963836439195123,8.012432616114515,8.024581660344364,53.345357300028375,53.42490246144126,53.74308310709283,54.25088586147091,57.28360643544639,58.99345010973256,59.20441375432495,59.39416506773132,59.44160289608291,-61.336664948372345,-60.84373040096152,-58.87199221131822,-58.609657650108694,-55.92550698639943,-54.630818992013204,-53.68655074514955,-53.54985056717534,-53.51567552268179,nan,nan,-inf,-78.4339148637655,-68.31483780258081,-60.376271218158216,-58.09198664470455,-57.26255105386078,-57.055192156149836,-71.85403717144052,-71.51195514973288,-70.14362706290235,-69.56705402903397,-64.17026866122093,-60.94496656458429,-60.16246266856938,-59.492726460259995,-59.32529240818265
