code,width_v,width_mV,width_lsb,dnl_ep_lsb
1,0.013332925631305503,13.332925631305503,1.005870931952673,0.005870931952673075
2,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
3,0.01294382651021131,12.94382651021131,0.976516272189326,-0.023483727810673982
4,0.013410745455524342,13.410745455524342,1.0117418639053426,0.011741863905342598
5,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
6,0.013722024752399253,13.722024752399253,1.0352255917159867,0.035225591715986715
7,0.01247690756489872,12.47690756489872,0.941290680473343,-0.05870931952665703
8,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
9,0.013410745455524342,13.410745455524342,1.0117418639053426,0.011741863905342598
10,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
11,0.012943826510211753,12.943826510211753,0.9765162721893594,-0.023483727810640564
12,0.013410745455523898,13.410745455523898,1.011741863905309,0.011741863905309069
13,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
14,0.013722024752399253,13.722024752399253,1.0352255917159867,0.035225591715986715
15,0.012009988619586576,12.009988619586576,0.9060650887573934,-0.09393491124260656
16,0.01372202475239881,13.72202475239881,1.0352255917159532,0.035225591715953186
17,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
18,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
19,0.013099466158649431,13.099466158649431,0.9882581360946984,-0.01174186390530163
20,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
21,0.013410745455523898,13.410745455523898,1.011741863905309,0.011741863905309069
22,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
23,0.012632547213336842,12.632547213336842,0.9530325443787153,-0.04696745562128468
24,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
25,0.01325510580708622,13.25510580708622,0.9999999999999701,-2.986499936241671e-14
26,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
27,0.013099466158649431,13.099466158649431,0.9882581360946984,-0.01174186390530163
28,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
29,0.013410745455523898,13.410745455523898,1.011741863905309,0.011741863905309069
30,0.01356638510396202,13.56638510396202,1.0234837278106814,0.02348372781068142
31,0.011854348971148898,11.854348971148898,0.8943232248520546,-0.10567677514794538
32,0.014500222994586753,14.500222994586753,1.093934911242614,0.093934911242614
33,0.013410745455523898,13.410745455523898,1.011741863905309,0.011741863905309069
34,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
35,0.013099466158648987,13.099466158648987,0.9882581360946648,-0.01174186390533516
36,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
37,0.013410745455524342,13.410745455524342,1.0117418639053426,0.011741863905342598
38,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
39,0.012632547213336842,12.632547213336842,0.9530325443787153,-0.04696745562128468
40,0.013099466158648987,13.099466158648987,0.9882581360946648,-0.01174186390533516
41,0.013410745455523898,13.410745455523898,1.011741863905309,0.011741863905309069
42,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
43,0.012943826510211753,12.943826510211753,0.9765162721893594,-0.023483727810640564
44,0.013410745455523898,13.410745455523898,1.011741863905309,0.011741863905309069
45,0.013410745455524342,13.410745455524342,1.0117418639053426,0.011741863905342598
46,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
47,0.012009988619586576,12.009988619586576,0.9060650887573934,-0.09393491124260656
48,0.013722024752399253,13.722024752399253,1.0352255917159867,0.035225591715986715
49,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
50,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
51,0.013099466158648987,13.099466158648987,0.9882581360946648,-0.01174186390533516
52,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
53,0.013410745455524231,13.410745455524232,1.0117418639053342,0.01174186390533416
54,0.013566385103961354,13.566385103961354,1.023483727810631,0.023483727810631017
55,0.012632547213336731,12.632547213336732,0.9530325443787069,-0.04696745562129312
56,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
57,0.013255105807086554,13.255105807086554,0.9999999999999953,-4.6629367034256575e-15
58,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
59,0.013099466158649209,13.099466158649209,0.9882581360946816,-0.011741863905318395
60,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
61,0.013410745455523898,13.410745455523898,1.011741863905309,0.011741863905309069
62,0.013566385103961687,13.566385103961686,1.0234837278106563,0.02348372781065633
63,0.009208474947711598,9.208474947711597,0.6947115384615371,-0.3052884615384629
64,0.01730173666646162,17.301736666461622,1.305288461538462,0.3052884615384619
65,0.013410745455524231,13.410745455524232,1.0117418639053342,0.01174186390533416
66,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
67,0.012943826510211642,12.943826510211643,0.9765162721893511,-0.02348372781064889
68,0.013410745455524009,13.410745455524008,1.0117418639053173,0.011741863905317285
69,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
70,0.013566385103961576,13.566385103961576,1.023483727810648,0.023483727810647892
71,0.01263254721333662,12.63254721333662,0.9530325443786986,-0.046967455621301446
72,0.013255105807086554,13.255105807086554,0.9999999999999953,-4.6629367034256575e-15
73,0.013255105807086665,13.255105807086665,1.0000000000000038,3.774758283725532e-15
74,0.013566385103961687,13.566385103961686,1.0234837278106563,0.02348372781065633
75,0.013099466158649098,13.099466158649097,0.9882581360946732,-0.011741863905326833
76,0.013255105807086554,13.255105807086554,0.9999999999999953,-4.6629367034256575e-15
77,0.01341074545552412,13.41074545552412,1.0117418639053257,0.011741863905325722
78,0.013566385103961687,13.566385103961686,1.0234837278106563,0.02348372781065633
79,0.012165628268024253,12.165628268024253,0.9178069526627323,-0.08219304733726773
80,0.013566385103961354,13.566385103961354,1.023483727810631,0.023483727810631017
81,0.01341074545552412,13.41074545552412,1.0117418639053257,0.011741863905325722
