fundamental_bin,largest_spur_bin,Psignal,Pdc,Pqn,Pqd,Pquant_error_total,SQNR_total_TD_dB,SQNR_spectral_dB,SQDR_dB,SQNDR_dB,SNR_dB,SNDR_dB,SFDR_dB,THD_dB,ENOB_bit,closure_error_db,model,code_min,code_max
997,18011,1.1244377475132563,2.99048701585067e-34,1.453303058994998e-05,2.7530630168540553e-07,1.4878607669579905e-05,48.785902303309626,48.88579228818423,66.11119264111052,48.804291303846995,48.88579228818423,48.804291303846995,67.10506359001432,-66.11119264111052,7.814666329542691,1.4464911998299308e-15,direct,15,240
997,18011,1.1244377475132563,2.99048701585067e-34,1.453303058994998e-05,2.7530630168540553e-07,1.4878607669579905e-05,48.785902303309626,48.88579228818423,66.11119264111052,48.804291303846995,48.88579228818423,48.804291303846995,67.10506359001432,-66.11119264111052,7.814666329542691,1.4464911998299308e-15,sar,15,240
997,18011,1.1244377475132563,2.99048701585067e-34,1.453303058994998e-05,2.7530630168540553e-07,1.4878607669579905e-05,48.785902303309626,48.88579228818423,66.11119264111052,48.804291303846995,48.88579228818423,48.804291303846995,67.10506359001432,-66.11119264111052,7.814666329542691,1.4464911998299308e-15,oracle,15,240
32113,29745,1.124437747513256,2.054975461672892e-34,1.4533030589950005e-05,2.7530630168540426e-07,1.4878607669701009e-05,48.78590230327425,48.88579228818422,66.11119264111053,48.80429130384699,48.88579228818422,48.80429130384699,67.1050635900143,-66.11119264111053,7.81466632954269,1.4464911998299308e-15,direct,15,240
32113,29745,1.124437747513256,2.054975461672892e-34,1.4533030589950005e-05,2.7530630168540426e-07,1.4878607669701009e-05,48.78590230327425,48.88579228818422,66.11119264111053,48.80429130384699,48.88579228818422,48.80429130384699,67.1050635900143,-66.11119264111053,7.81466632954269,1.4464911998299308e-15,sar,15,240
32113,29745,1.124437747513256,2.054975461672892e-34,1.4533030589950005e-05,2.7530630168540426e-07,1.4878607669701009e-05,48.78590230327425,48.88579228818422,66.11119264111053,48.80429130384699,48.88579228818422,48.80429130384699,67.1050635900143,-66.11119264111053,7.81466632954269,1.4464911998299308e-15,oracle,15,240
