sample_index,valid_sample_index,t_sample_s,t_eoc_s,vinp_v,vinn_v,vdiff_v,code_decimal,code_hex,ideal_dac_output_vdiff_v,reconstructed_vdiff_v,quantization_error_v,quantization_error_lsb,clks_falling_sample,eoc_int
16,0,8e-06,8.375e-06,2.35987553840986,0.94012446159014,1.41975107681972,234,0xEA,1.4144531249999999,1.4144531249999999,-0.005297951819720037,-0.39890460760244983,1,1
17,1,8.5e-06,8.875e-06,2.333535886350087,0.9664641136499126,1.3670717727001747,230,0xE6,1.3613281249999998,1.3613281249999998,-0.005743647700174881,-0.43246288566022634,1,1
18,2,9e-06,9.375000000000001e-06,2.300955713728202,0.9990442862717979,1.301911427456404,226,0xE2,1.3082031250000001,1.3082031250000001,0.006291697543596042,0.47372781504723144,1,1
19,3,9.5e-06,9.875000000000001e-06,2.2624324697948195,1.03756753020518,1.2248649395896396,220,0xDC,1.2285156249999998,1.2285156249999998,0.003650685410360177,0.2748751367800604,1,1
20,4,1e-05,1.0375000000000001e-05,2.218317862632408,1.0816821373675918,1.1366357252648163,213,0xD5,1.135546875,1.135546875,-0.00108885026481631,-0.0819840199391104,1,1
21,5,1.05e-05,1.0875e-05,2.1690146481438886,1.1309853518561113,1.0380292962877775,206,0xCE,1.0425781250000001,1.0425781250000001,0.004548828712222619,0.342500044214409,1,1
22,6,1.1e-05,1.1375e-05,2.1149729529867463,1.1850270470132536,0.9299459059734929,198,0xC6,0.936328125,0.936328125,0.006382219026507041,0.4805435502311184,1,1
23,7,1.15e-05,1.1875e-05,2.056686165023381,1.2433138349766186,0.8133723300467627,189,0xBD,0.8167968749999999,0.8167968749999999,0.0034245449532371852,0.2578480905966822,1,1
24,8,1.2e-05,1.2375000000000001e-05,1.9946864288069155,1.3053135711930843,0.6893728576138309,179,0xB3,0.6839843749999999,0.6839843749999999,-0.005388482613831069,-0.4057210438649276,1,1
25,9,1.25e-05,1.2875000000000001e-05,1.9295397872276063,1.3704602127723935,0.5590795744552131,170,0xAA,0.5644531249999998,0.5644531249999998,0.0053735505447867205,0.40459674690158837,1,1
26,10,1.3e-05,1.3375e-05,1.8618410136754795,1.4381589863245203,0.4236820273509593,159,0x9F,0.41835937499999987,0.41835937499999987,-0.0053226523509594115,-0.4007644123075322,1,1
27,11,1.35e-05,1.3875e-05,1.7922081819003088,1.507791818099691,0.284416363800618,149,0x95,0.2855468750000001,0.2855468750000001,0.0011305111993820671,0.08512084324759094,1,1
28,12,1.4e-05,1.4375e-05,1.7212770231448415,1.5787229768551583,0.14255404628968338,138,0x8A,0.13945312499999996,0.13945312499999996,-0.0031009212896834226,-0.233481132399693,1,1
29,13,1.45e-05,1.4875e-05,1.649695122069294,1.650304877930706,-0.0006097558614118076,127,0x7F,-0.006640624999999956,-0.006640624999999956,-0.006030869138588148,-0.45408897043487234,1,1
30,14,1.5e-05,1.5375e-05,1.5781160044569607,1.7218839955430392,-0.1437679910860785,117,0x75,-0.13945312499999996,-0.13945312499999996,0.004314866086078534,0.32488403471650135,1,1
31,15,1.55e-05,1.5875e-05,1.507193170678778,1.7928068293212218,-0.28561365864244387,106,0x6A,-0.2855468750000001,-0.2855468750000001,6.678364244377955e-05,0.0050284154310610485,1,1
32,16,1.6e-05,1.6374999999999998e-05,1.4375741293898938,1.862425870610106,-0.42485174122021235,96,0x60,-0.4183593750000001,-0.4183593750000001,0.0064923662202122645,0.48883698599245284,1,1
33,17,1.65e-05,1.6875e-05,1.3698944859291846,1.9301055140708152,-0.5602110281416306,85,0x55,-0.564453125,-0.564453125,-0.004242096858369404,-0.31940493992428454,1,1
34,18,1.7e-05,1.7375e-05,1.3047721393932266,1.9952278606067733,-0.6904557212135467,76,0x4C,-0.6839843750000001,-0.6839843750000001,0.006471346213546614,0.4872543031376274,1,1
35,19,1.75e-05,1.7874999999999997e-05,1.2428016413640597,2.05719835863594,-0.8143967172718807,66,0x42,-0.816796875,-0.816796875,-0.002400157728119301,-0.18071775835251208,1,1
36,20,1.8e-05,1.8375e-05,1.1845487677942246,2.1154512322057752,-0.9309024644115506,57,0x39,-0.936328125,-0.936328125,-0.005425660588449399,-0.4085203266597195,1,1
37,21,1.85e-05,1.8874999999999998e-05,1.130545353606473,2.169454646393527,-1.038909292787054,49,0x31,-1.042578125,-1.042578125,-0.003668832212945894,-0.2762414842688673,1,1
38,22,1.9e-05,1.9375e-05,1.0812844371670303,2.2187155628329696,-1.1374311256659395,42,0x2A,-1.135546875,-1.135546875,0.0018842506659395575,0.14187299131780198,1,1
39,23,1.95e-05,1.9875e-05,1.037215758962224,2.262784241037776,-1.2255684820755521,35,0x23,-1.228515625,-1.228515625,-0.0029471429244478653,-0.22190252607607458,1,1
40,24,2e-05,2.0375e-05,0.9987416555744829,2.301258344425517,-1.302516688851034,29,0x1D,-1.308203125,-1.308203125,-0.005686436148965912,-0.42815519239272753,1,1
41,25,2.05e-05,2.0875e-05,0.9662133864447455,2.3337866135552545,-1.3675732271105088,25,0x19,-1.361328125,-1.361328125,0.006245102110508771,0.4702194530265428,1,1
42,26,2.1e-05,2.1374999999999998e-05,0.9399279269570515,2.3600720730429483,-1.4201441460858968,21,0x15,-1.414453125,-1.414453125,0.005691021085896697,0.4285004111733984,1,1
43,27,2.15e-05,2.1875e-05,0.9201252571237064,2.3798747428762934,-1.459749485752587,18,0x12,-1.454296875,-1.454296875,0.005452610752586962,0.4105495154889007,1,1
44,28,2.2e-05,2.2375e-05,0.9069861706246728,2.393013829375327,-1.4860276587506542,16,0x10,-1.4808593749999999,-1.4808593749999999,0.005168283750654368,0.38914136475515243,1,1
45,29,2.25e-05,2.2875e-05,0.9006306242041424,2.3993693757958576,-1.498738751591715,15,0x0F,-1.494140625,-1.494140625,0.0045981265917149905,0.3462118845526581,1,1
46,30,2.3e-05,2.3375e-05,0.9011166424939051,2.3988833575060946,-1.4977667150121896,15,0x0F,-1.494140625,-1.494140625,0.003626090012189609,0.27302324797662936,1,1
47,31,2.35e-05,2.3874999999999998e-05,0.9084397882622203,2.3915602117377794,-1.4831204234755593,16,0x10,-1.4808593749999999,-1.4808593749999999,0.002261048475559413,0.17024364992447344,1,1
48,32,2.4e-05,2.4375e-05,0.92253320292469,2.37746679707531,-1.4549335941506198,18,0x12,-1.454296875,-1.454296875,0.0006367191506198022,0.047941206634902755,1,1
49,33,2.45e-05,2.4874999999999998e-05,0.9432682169472812,2.3567317830527186,-1.4134635661054373,21,0x15,-1.414453125,-1.414453125,-0.0009895588945627587,-0.07450796382590183,1,1
50,34,2.5e-05,2.5375e-05,0.9704555245686612,2.3295444754313386,-1.3590889508626773,25,0x19,-1.361328125,-1.361328125,-0.0022391741373226637,-0.1685966409278241,1,1
51,35,2.55e-05,2.5875e-05,1.0038469121169107,2.296153087883089,-1.2923061757661785,30,0x1E,-1.294921875,-1.294921875,-0.0026156992338215446,-0.19694676584068102,1,1
52,36,2.6e-05,2.6374999999999997e-05,1.043137524141491,2.256862475858509,-1.2137249517170177,36,0x24,-1.215234375,-1.215234375,-0.001509423282982425,-0.11365069424808848,1,1
53,37,2.65e-05,2.6875e-05,1.0879686466712217,2.2120313533287783,-1.1240627066575564,43,0x2B,-1.1222656249999998,-1.1222656249999998,0.001797081657556543,0.13530967774543382,1,1
54,38,2.7e-05,2.7374999999999998e-05,1.1379309821877772,2.1620690178122226,-1.0241380356244452,50,0x32,-1.029296875,-1.029296875,-0.005158839375554836,-0.3884302588653053,1,1
