bit,code,measured_weight_lsb,ideal_weight_lsb,error_lsb
0,1,0.9999999999999933,1,-6.661338147750939e-15
1,2,2.0000000000000036,2,3.552713678800501e-15
2,4,4.000000000000007,4,7.105427357601002e-15
3,8,7.9999999999999964,8,-3.552713678800501e-15
4,16,15.999999999999993,16,-7.105427357601002e-15
5,32,32.00000000000001,32,7.105427357601002e-15
6,64,64.0,64,0.0
7,128,128.0,128,0.0
