case,external_clock,clks_hz,track_time_ns,conversion_time_ns,sample_period_ns,window_used_ns,timing_margin_ns,internal_bit_slots,internal_bit_slot_ns,comparisons_per_conversion,cdac_adjustments_per_conversion,sample_rate_hz,target_fs_hz,error_ppm,no_external_sar_clock,status
nominal,CLKS,2000000.0,125.0,375.0,500.0,500.0,0.0,8,46.875,8,7,2000000.0,2000000.0,0.0,True,PASS
min_track_max_conversion,CLKS,2000000.0,100.0,400.0,500.0,500.0,0.0,8,50.0,8,7,2000000.0,2000000.0,0.0,True,PASS
