code,width_lsb,dnl_lsb
0,0.9999999999999933,-6.661338147750939e-15
1,1.00000000000001,9.992007221626409e-15
2,0.9999999999999933,-6.661338147750939e-15
3,1.00000000000001,9.992007221626409e-15
4,0.9999999999999933,-6.661338147750939e-15
5,0.9999999999999933,-6.661338147750939e-15
6,1.00000000000001,9.992007221626409e-15
7,0.9999999999999933,-6.661338147750939e-15
8,1.00000000000001,9.992007221626409e-15
9,0.9999999999999933,-6.661338147750939e-15
10,0.9999999999999933,-6.661338147750939e-15
11,1.00000000000001,9.992007221626409e-15
12,0.9999999999999933,-6.661338147750939e-15
13,1.00000000000001,9.992007221626409e-15
14,0.9999999999999933,-6.661338147750939e-15
15,0.9999999999999933,-6.661338147750939e-15
16,1.00000000000001,9.992007221626409e-15
17,0.9999999999999933,-6.661338147750939e-15
18,0.9999999999999933,-6.661338147750939e-15
19,1.00000000000001,9.992007221626409e-15
20,0.9999999999999933,-6.661338147750939e-15
21,1.00000000000001,9.992007221626409e-15
22,0.9999999999999933,-6.661338147750939e-15
23,0.9999999999999933,-6.661338147750939e-15
24,1.00000000000001,9.992007221626409e-15
25,0.9999999999999933,-6.661338147750939e-15
26,1.00000000000001,9.992007221626409e-15
27,0.9999999999999933,-6.661338147750939e-15
28,0.9999999999999933,-6.661338147750939e-15
29,1.00000000000001,9.992007221626409e-15
30,0.9999999999999933,-6.661338147750939e-15
31,1.00000000000001,9.992007221626409e-15
32,0.9999999999999933,-6.661338147750939e-15
33,0.9999999999999933,-6.661338147750939e-15
34,1.00000000000001,9.992007221626409e-15
35,0.9999999999999933,-6.661338147750939e-15
36,1.00000000000001,9.992007221626409e-15
37,0.9999999999999933,-6.661338147750939e-15
38,0.9999999999999933,-6.661338147750939e-15
39,1.00000000000001,9.992007221626409e-15
40,1.00000000000001,9.992007221626409e-15
41,0.9999999999999933,-6.661338147750939e-15
42,0.9999999999999933,-6.661338147750939e-15
43,0.9999999999999933,-6.661338147750939e-15
44,1.00000000000001,9.992007221626409e-15
45,1.00000000000001,9.992007221626409e-15
46,0.9999999999999933,-6.661338147750939e-15
47,0.9999999999999933,-6.661338147750939e-15
48,0.9999999999999933,-6.661338147750939e-15
49,1.00000000000001,9.992007221626409e-15
50,1.00000000000001,9.992007221626409e-15
51,0.9999999999999933,-6.661338147750939e-15
52,0.9999999999999933,-6.661338147750939e-15
53,1.0000000000000018,1.7763568394002505e-15
54,1.0000000000000018,1.7763568394002505e-15
55,1.0000000000000018,1.7763568394002505e-15
56,0.9999999999999933,-6.661338147750939e-15
57,1.0000000000000018,1.7763568394002505e-15
58,1.0000000000000018,1.7763568394002505e-15
59,1.0000000000000018,1.7763568394002505e-15
60,1.0000000000000018,1.7763568394002505e-15
61,0.9999999999999933,-6.661338147750939e-15
62,1.0000000000000018,1.7763568394002505e-15
63,1.0000000000000018,1.7763568394002505e-15
64,1.0000000000000018,1.7763568394002505e-15
65,1.0000000000000018,1.7763568394002505e-15
66,0.9999999999999933,-6.661338147750939e-15
67,1.0000000000000018,1.7763568394002505e-15
68,1.0000000000000018,1.7763568394002505e-15
69,1.0000000000000018,1.7763568394002505e-15
70,1.0000000000000018,1.7763568394002505e-15
71,0.9999999999999933,-6.661338147750939e-15
72,1.0000000000000018,1.7763568394002505e-15
73,1.0000000000000018,1.7763568394002505e-15
74,1.0000000000000018,1.7763568394002505e-15
75,0.9999999999999933,-6.661338147750939e-15
76,1.00000000000001,9.992007221626409e-15
77,0.9999999999999933,-6.661338147750939e-15
78,0.9999999999999933,-6.661338147750939e-15
79,1.00000000000001,9.992007221626409e-15
80,0.9999999999999933,-6.661338147750939e-15
81,1.00000000000001,9.992007221626409e-15
82,0.9999999999999933,-6.661338147750939e-15
83,0.9999999999999933,-6.661338147750939e-15
84,1.00000000000001,9.992007221626409e-15
85,0.9999999999999933,-6.661338147750939e-15
86,1.00000000000001,9.992007221626409e-15
87,0.9999999999999933,-6.661338147750939e-15
88,0.9999999999999933,-6.661338147750939e-15
89,1.00000000000001,9.992007221626409e-15
90,0.9999999999999933,-6.661338147750939e-15
91,1.00000000000001,9.992007221626409e-15
92,0.9999999999999933,-6.661338147750939e-15
93,0.9999999999999933,-6.661338147750939e-15
94,1.00000000000001,9.992007221626409e-15
95,0.9999999999999933,-6.661338147750939e-15
96,1.00000000000001,9.992007221626409e-15
97,0.9999999999999933,-6.661338147750939e-15
98,0.9999999999999933,-6.661338147750939e-15
99,1.00000000000001,9.992007221626409e-15
100,0.9999999999999933,-6.661338147750939e-15
101,1.00000000000001,9.992007221626409e-15
102,0.9999999999999933,-6.661338147750939e-15
103,0.9999999999999933,-6.661338147750939e-15
104,1.00000000000001,9.992007221626409e-15
105,0.9999999999999933,-6.661338147750939e-15
106,1.00000000000001,9.992007221626409e-15
107,0.9999999999999933,-6.661338147750939e-15
108,0.9999999999999933,-6.661338147750939e-15
109,1.00000000000001,9.992007221626409e-15
110,0.9999999999999933,-6.661338147750939e-15
111,1.00000000000001,9.992007221626409e-15
112,0.9999999999999933,-6.661338147750939e-15
113,0.9999999999999933,-6.661338147750939e-15
114,1.00000000000001,9.992007221626409e-15
115,0.9999999999999933,-6.661338147750939e-15
116,1.00000000000001,9.992007221626409e-15
117,0.9999999999999933,-6.661338147750939e-15
118,0.9999999999999933,-6.661338147750939e-15
119,1.00000000000001,9.992007221626409e-15
120,0.9999999999999933,-6.661338147750939e-15
121,1.00000000000001,9.992007221626409e-15
122,0.9999999999999933,-6.661338147750939e-15
123,0.9999999999999933,-6.661338147750939e-15
124,1.00000000000001,9.992007221626409e-15
125,0.9999999999999933,-6.661338147750939e-15
126,1.00000000000001,9.992007221626409e-15
127,0.9999999999999933,-6.661338147750939e-15
128,0.9999999999999933,-6.661338147750939e-15
129,1.00000000000001,9.992007221626409e-15
130,0.9999999999999933,-6.661338147750939e-15
131,1.00000000000001,9.992007221626409e-15
132,0.9999999999999933,-6.661338147750939e-15
133,0.9999999999999933,-6.661338147750939e-15
134,1.00000000000001,9.992007221626409e-15
135,0.9999999999999933,-6.661338147750939e-15
136,1.00000000000001,9.992007221626409e-15
137,0.9999999999999933,-6.661338147750939e-15
138,0.9999999999999933,-6.661338147750939e-15
139,1.00000000000001,9.992007221626409e-15
140,0.9999999999999933,-6.661338147750939e-15
141,1.00000000000001,9.992007221626409e-15
142,0.9999999999999933,-6.661338147750939e-15
143,0.9999999999999933,-6.661338147750939e-15
144,1.00000000000001,9.992007221626409e-15
145,0.9999999999999933,-6.661338147750939e-15
146,1.00000000000001,9.992007221626409e-15
147,0.9999999999999933,-6.661338147750939e-15
148,0.9999999999999933,-6.661338147750939e-15
149,1.00000000000001,9.992007221626409e-15
150,0.9999999999999933,-6.661338147750939e-15
151,0.9999999999999933,-6.661338147750939e-15
152,0.9999999999999933,-6.661338147750939e-15
153,1.0000000000000269,2.6867397195928788e-14
154,0.9999999999999933,-6.661338147750939e-15
155,0.9999999999999933,-6.661338147750939e-15
156,0.9999999999999933,-6.661338147750939e-15
157,0.9999999999999933,-6.661338147750939e-15
158,1.0000000000000269,2.6867397195928788e-14
159,0.9999999999999933,-6.661338147750939e-15
160,0.9999999999999933,-6.661338147750939e-15
161,0.9999999999999933,-6.661338147750939e-15
162,0.9999999999999933,-6.661338147750939e-15
163,1.0000000000000269,2.6867397195928788e-14
164,0.9999999999999933,-6.661338147750939e-15
165,0.9999999999999933,-6.661338147750939e-15
166,0.9999999999999933,-6.661338147750939e-15
167,0.9999999999999933,-6.661338147750939e-15
168,1.0000000000000269,2.6867397195928788e-14
169,0.9999999999999933,-6.661338147750939e-15
170,0.9999999999999933,-6.661338147750939e-15
171,0.9999999999999933,-6.661338147750939e-15
172,0.9999999999999933,-6.661338147750939e-15
173,1.0000000000000269,2.6867397195928788e-14
174,0.9999999999999933,-6.661338147750939e-15
175,0.9999999999999933,-6.661338147750939e-15
176,0.9999999999999933,-6.661338147750939e-15
177,0.9999999999999933,-6.661338147750939e-15
178,1.0000000000000269,2.6867397195928788e-14
179,0.9999999999999933,-6.661338147750939e-15
180,0.9999999999999933,-6.661338147750939e-15
181,0.9999999999999933,-6.661338147750939e-15
182,0.9999999999999933,-6.661338147750939e-15
183,1.0000000000000269,2.6867397195928788e-14
184,0.9999999999999933,-6.661338147750939e-15
185,0.9999999999999933,-6.661338147750939e-15
186,0.9999999999999933,-6.661338147750939e-15
187,0.9999999999999933,-6.661338147750939e-15
188,1.0000000000000269,2.6867397195928788e-14
189,0.9999999999999933,-6.661338147750939e-15
190,0.9999999999999933,-6.661338147750939e-15
191,0.9999999999999933,-6.661338147750939e-15
192,0.9999999999999933,-6.661338147750939e-15
193,1.0000000000000269,2.6867397195928788e-14
194,0.9999999999999933,-6.661338147750939e-15
195,0.9999999999999933,-6.661338147750939e-15
196,0.9999999999999933,-6.661338147750939e-15
197,0.9999999999999933,-6.661338147750939e-15
198,1.0000000000000269,2.6867397195928788e-14
199,0.9999999999999933,-6.661338147750939e-15
200,0.9999999999999933,-6.661338147750939e-15
201,0.9999999999999933,-6.661338147750939e-15
202,0.9999999999999933,-6.661338147750939e-15
203,1.0000000000000269,2.6867397195928788e-14
204,0.9999999999999933,-6.661338147750939e-15
205,0.9999999999999933,-6.661338147750939e-15
206,0.9999999999999933,-6.661338147750939e-15
207,0.9999999999999933,-6.661338147750939e-15
208,1.0000000000000269,2.6867397195928788e-14
209,0.9999999999999933,-6.661338147750939e-15
210,0.9999999999999933,-6.661338147750939e-15
211,0.9999999999999933,-6.661338147750939e-15
212,0.9999999999999933,-6.661338147750939e-15
213,1.0000000000000269,2.6867397195928788e-14
214,0.9999999999999933,-6.661338147750939e-15
215,0.9999999999999933,-6.661338147750939e-15
216,0.9999999999999933,-6.661338147750939e-15
217,0.9999999999999933,-6.661338147750939e-15
218,1.0000000000000269,2.6867397195928788e-14
219,0.9999999999999933,-6.661338147750939e-15
220,0.9999999999999933,-6.661338147750939e-15
221,0.9999999999999933,-6.661338147750939e-15
222,0.9999999999999933,-6.661338147750939e-15
223,1.0000000000000269,2.6867397195928788e-14
224,0.9999999999999933,-6.661338147750939e-15
225,0.9999999999999933,-6.661338147750939e-15
226,0.9999999999999933,-6.661338147750939e-15
227,0.9999999999999933,-6.661338147750939e-15
228,1.0000000000000269,2.6867397195928788e-14
229,0.9999999999999933,-6.661338147750939e-15
230,0.9999999999999933,-6.661338147750939e-15
231,0.9999999999999933,-6.661338147750939e-15
232,0.9999999999999933,-6.661338147750939e-15
233,1.0000000000000269,2.6867397195928788e-14
234,0.9999999999999933,-6.661338147750939e-15
235,0.9999999999999933,-6.661338147750939e-15
236,0.9999999999999933,-6.661338147750939e-15
237,0.9999999999999933,-6.661338147750939e-15
238,1.0000000000000269,2.6867397195928788e-14
239,0.9999999999999933,-6.661338147750939e-15
240,0.9999999999999933,-6.661338147750939e-15
241,0.9999999999999933,-6.661338147750939e-15
242,0.9999999999999933,-6.661338147750939e-15
243,1.0000000000000269,2.6867397195928788e-14
244,0.9999999999999933,-6.661338147750939e-15
245,0.9999999999999933,-6.661338147750939e-15
