transition_code,transition_v,ideal_v,error_lsb
1,-1.68671875,-1.68671875,0.0
2,-1.6734375,-1.6734375,0.0
3,-1.66015625,-1.66015625,0.0
4,-1.6468749999999999,-1.6468749999999999,0.0
5,-1.63359375,-1.63359375,0.0
6,-1.6203125,-1.6203125,0.0
7,-1.60703125,-1.60703125,0.0
8,-1.59375,-1.59375,0.0
9,-1.5804687499999999,-1.5804687499999999,0.0
10,-1.5671875,-1.5671875,0.0
11,-1.55390625,-1.55390625,0.0
12,-1.540625,-1.540625,0.0
13,-1.52734375,-1.52734375,0.0
14,-1.5140624999999999,-1.5140624999999999,0.0
15,-1.50078125,-1.50078125,0.0
16,-1.4875,-1.4875,0.0
17,-1.47421875,-1.47421875,0.0
18,-1.4609375,-1.4609375,0.0
19,-1.44765625,-1.44765625,0.0
20,-1.434375,-1.434375,0.0
21,-1.42109375,-1.42109375,0.0
22,-1.4078125,-1.4078125,0.0
23,-1.39453125,-1.39453125,0.0
24,-1.38125,-1.38125,0.0
25,-1.36796875,-1.36796875,0.0
26,-1.3546875,-1.3546875,0.0
27,-1.34140625,-1.34140625,0.0
28,-1.328125,-1.328125,0.0
29,-1.31484375,-1.31484375,0.0
30,-1.3015625,-1.3015625,0.0
31,-1.28828125,-1.28828125,0.0
32,-1.275,-1.275,0.0
33,-1.26171875,-1.26171875,0.0
34,-1.2484375,-1.2484375,0.0
35,-1.23515625,-1.23515625,0.0
36,-1.221875,-1.221875,0.0
37,-1.20859375,-1.20859375,0.0
38,-1.1953125,-1.1953125,0.0
39,-1.18203125,-1.18203125,0.0
40,-1.16875,-1.16875,0.0
41,-1.1554687499999998,-1.1554687499999998,0.0
42,-1.1421875,-1.1421875,0.0
43,-1.12890625,-1.12890625,0.0
44,-1.115625,-1.115625,0.0
45,-1.10234375,-1.10234375,0.0
46,-1.0890624999999998,-1.0890624999999998,0.0
47,-1.07578125,-1.07578125,0.0
48,-1.0625,-1.0625,0.0
49,-1.04921875,-1.04921875,0.0
50,-1.0359375,-1.0359375,0.0
51,-1.0226562499999998,-1.0226562499999998,0.0
52,-1.009375,-1.009375,0.0
53,-0.99609375,-0.99609375,0.0
54,-0.9828125,-0.9828125,0.0
55,-0.96953125,-0.96953125,0.0
56,-0.9562499999999999,-0.9562499999999999,0.0
57,-0.94296875,-0.94296875,0.0
58,-0.9296875,-0.9296875,0.0
59,-0.91640625,-0.91640625,0.0
60,-0.903125,-0.903125,0.0
61,-0.8898437499999999,-0.8898437499999999,0.0
62,-0.8765625,-0.8765625,0.0
63,-0.86328125,-0.86328125,0.0
64,-0.85,-0.85,0.0
65,-0.83671875,-0.83671875,0.0
66,-0.8234374999999999,-0.8234374999999999,0.0
67,-0.81015625,-0.81015625,0.0
68,-0.796875,-0.796875,0.0
69,-0.78359375,-0.78359375,0.0
70,-0.7703125,-0.7703125,0.0
71,-0.7570312499999999,-0.7570312499999999,0.0
72,-0.74375,-0.74375,0.0
73,-0.73046875,-0.73046875,0.0
74,-0.7171875,-0.7171875,0.0
75,-0.70390625,-0.70390625,0.0
76,-0.690625,-0.690625,0.0
77,-0.6773437499999999,-0.6773437499999999,0.0
78,-0.6640625,-0.6640625,0.0
79,-0.6507812500000001,-0.6507812500000001,0.0
80,-0.6375,-0.6375,0.0
81,-0.62421875,-0.62421875,0.0
82,-0.6109374999999999,-0.6109374999999999,0.0
83,-0.59765625,-0.59765625,0.0
84,-0.5843750000000001,-0.5843750000000001,0.0
85,-0.57109375,-0.57109375,0.0
86,-0.5578125,-0.5578125,0.0
87,-0.5445312499999999,-0.5445312499999999,0.0
88,-0.53125,-0.53125,0.0
89,-0.5179687500000001,-0.5179687500000001,0.0
90,-0.5046875,-0.5046875,0.0
91,-0.49140625000000004,-0.49140625000000004,0.0
92,-0.4781249999999999,-0.4781249999999999,0.0
93,-0.46484375,-0.46484375,0.0
94,-0.4515625000000001,-0.4515625000000001,0.0
95,-0.43828124999999996,-0.43828124999999996,0.0
96,-0.42500000000000004,-0.42500000000000004,0.0
97,-0.4117187499999999,-0.4117187499999999,0.0
98,-0.3984375,-0.3984375,0.0
99,-0.3851562500000001,-0.3851562500000001,0.0
100,-0.37187499999999996,-0.37187499999999996,0.0
101,-0.35859375000000004,-0.35859375000000004,0.0
102,-0.3453124999999999,-0.3453124999999999,0.0
103,-0.33203125,-0.33203125,0.0
104,-0.3187500000000001,-0.3187500000000001,0.0
105,-0.30546874999999996,-0.30546874999999996,0.0
106,-0.29218750000000004,-0.29218750000000004,0.0
107,-0.2789062499999999,-0.2789062499999999,0.0
108,-0.265625,-0.265625,0.0
109,-0.2523437500000001,-0.2523437500000001,0.0
110,-0.23906249999999996,-0.23906249999999996,0.0
111,-0.22578125000000004,-0.22578125000000004,0.0
112,-0.2124999999999999,-0.2124999999999999,0.0
113,-0.19921875,-0.19921875,0.0
114,-0.1859375000000001,-0.1859375000000001,0.0
115,-0.17265624999999996,-0.17265624999999996,0.0
116,-0.15937500000000004,-0.15937500000000004,0.0
117,-0.1460937499999999,-0.1460937499999999,0.0
118,-0.1328125,-0.1328125,0.0
119,-0.11953125000000009,-0.11953125000000009,0.0
