code,transition_dnl_lsb,ramp_hist_dnl_lsb,ramp_hist_inl_lsb,sine_count,sine_expected_count,sine_corrected_dnl_lsb,sine_residual_sigma,sine_valid_for_cdf_check
0,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
1,9.992007221626409e-15,0.0,0.0,0,0.0,,,False
2,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
3,9.992007221626409e-15,0.0,0.0,0,0.0,,,False
4,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
5,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
6,9.992007221626409e-15,0.0,0.0,0,0.0,,,False
7,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
8,9.992007221626409e-15,0.0,0.0,0,0.0,,,False
9,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
10,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
11,9.992007221626409e-15,0.0,0.0,0,0.0,,,False
12,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
13,9.992007221626409e-15,0.0,0.0,0,0.0,,,False
14,-6.661338147750939e-15,0.0,0.0,0,0.0,,,False
15,-6.661338147750939e-15,0.0,0.0,10780,10779.943367421438,5.253513551295441e-06,0.0005570272853995506,True
16,9.992007221626409e-15,0.0,0.0,4713,4713.052621648923,-1.1165088350972852e-05,-0.000773486773827424,True
17,-6.661338147750939e-15,0.0,0.0,3592,3591.752745810678,6.883942376334495e-05,0.004154188939255023,True
18,-6.661338147750939e-15,0.0,0.0,3024,3023.9364002441725,2.1032107627050323e-05,0.0011632915195680818,True
19,9.992007221626409e-15,0.0,0.0,2665,2664.981904389875,6.790143713519825e-06,0.0003523261973519392,True
20,-6.661338147750939e-15,0.0,0.0,2411,2411.84762420856,-0.00035144185729307775,-0.01733945817090783,True
21,9.992007221626409e-15,0.0,0.0,2222,2221.1102651317487,0.00040058113377750004,0.018959341474596283,True
22,-6.661338147750939e-15,0.0,0.0,2070,2070.81940567102,-0.0003956915164963215,-0.018077985294342826,True
23,-6.661338147750939e-15,0.0,0.0,1949,1948.51494003697,0.0002489382827215447,0.011029698526958776,True
24,9.992007221626409e-15,0.0,0.0,1847,1846.525572985207,0.00025692956638878606,0.011079667593360388,True
25,-6.661338147750939e-15,0.0,0.0,1759,1759.834553698689,-0.0004742228165340867,-0.019960942414993334,True
26,9.992007221626409e-15,0.0,0.0,1685,1685.0041545387212,-2.465595535738885e-06,-0.00010153659680079575,True
27,-6.661338147750939e-15,0.0,0.0,1620,1619.589101788035,0.00025370522159695597,0.01024183036270004,True
28,-6.661338147750939e-15,0.0,0.0,1562,1561.7961561425182,0.00013051886232418042,0.0051734831506255055,True
29,9.992007221626409e-15,0.0,0.0,1510,1510.2763599526952,-0.00018298634609092979,-0.007131839385967053,True
30,-6.661338147750939e-15,0.0,0.0,1464,1463.9928660156584,4.87296386975089e-06,0.00018697294577198407,True
31,9.992007221626409e-15,0.0,0.0,1422,1422.133856294764,-9.412355536819739e-05,-0.003559178705869506,True
32,-6.661338147750939e-15,0.0,0.0,1384,1384.053427915438,-3.860249493292667e-05,-0.0014399298061129582,True
33,-6.661338147750939e-15,0.0,0.0,1349,1349.2304144209484,-0.00017077470125603789,-0.006289079982342607,True
34,9.992007221626409e-15,0.0,0.0,1318,1317.239046314091,0.0005776883763339846,0.0210193757562333,True
35,-6.661338147750939e-15,0.0,0.0,1287,1287.727627328335,-0.0005650475402509958,-0.02032667364271984,True
36,9.992007221626409e-15,0.0,0.0,1261,1260.4027604975272,0.0004738481390162974,0.016863216898697103,True
37,-6.661338147750939e-15,0.0,0.0,1235,1235.0174939893477,-1.416497291162333e-05,-0.000498973806960657,True
38,-6.661338147750939e-15,0.0,0.0,1211,1211.362285267227,-0.00029907259919936813,-0.010433245049478453,True
39,9.992007221626409e-15,0.0,0.0,1189,1189.2580244955607,-0.00021696258528092205,-0.007499119199971379,True
40,9.992007221626409e-15,0.0,0.0,1169,1168.5505846403394,0.00038459213111341484,0.013176324643163614,True
41,-6.661338147750939e-15,0.0,0.0,1149,1149.10651855779,-9.269685278934237e-05,-0.0031491916366069043,True
42,-6.661338147750939e-15,0.0,0.0,1131,1130.8096283183113,0.00016834989455460914,0.005673438232029506,True
43,-6.661338147750939e-15,0.0,0.0,1113,1113.5582052561513,-0.0005012807175380773,-0.016763389735812977,True
44,9.992007221626409e-15,0.0,0.0,1098,1097.2627911072632,0.0006718617442527108,0.022302115749753246,True
45,9.992007221626409e-15,0.0,0.0,1082,1081.8443478398112,0.0001438766681174375,0.004742100602778753,True
