amplitude_fs_peak,case,bin,phase_rad,sar_sndr_db,sar_enob_bit,sar_sqnr_total_td_db,sar_sqnr_spectral_db,sar_sqdr_db,sar_sqndr_db,max_model_delta_db
0.8823529411764706,low_frequency,997,0.0,48.80397927691295,7.814614497826072,48.785894770245946,48.88621513756971,66.07226301821372,48.80397927691295,1.2841676095831644e-06
0.8823529411764706,low_frequency,997,0.37,48.804291303846995,7.814666329542691,48.785902303309626,48.88579228818423,66.11119264111052,48.804291303846995,0.0
0.8823529411764706,low_frequency,997,1.11,48.804428423447504,7.814689106884968,48.7859084704358,48.88570552178691,66.12316480207993,48.804428423447504,0.0
0.8823529411764706,near_nyquist,32113,0.0,48.80397927691326,7.814614497826124,48.7858947702481,48.88621511302198,66.07226430238133,48.80397927691326,0.0
0.8823529411764706,near_nyquist,32113,0.37,48.80429130384699,7.81466632954269,48.78590230327425,48.88579228818422,66.11119264111053,48.80429130384699,0.0
0.8823529411764706,near_nyquist,32113,1.11,48.80442842344752,7.814689106884971,48.78590847049327,48.88570552178691,66.12316480207993,48.80442842344752,0.0
0.5,low_frequency,997,0.0,43.75864659819304,6.976519368470606,43.710313167728856,43.97280167034669,56.935843598601906,43.75864659819304,4.883620832174529e-07
0.5,low_frequency,997,0.37,43.758574007313726,6.9765073101850055,43.71030674284731,43.97310811691413,56.92827909499769,43.758574007313726,0.0
0.5,low_frequency,997,1.11,43.75895075981042,6.976569893656216,43.71030318730603,43.973416190183684,56.930012328614225,43.75895075981042,0.0
0.5,near_nyquist,32113,0.0,43.758646551198865,6.976519360664264,43.71031316773803,43.972801645662365,56.93584311023982,43.758646551198865,0.0
0.5,near_nyquist,32113,0.37,43.758574007313726,6.9765073101850055,43.710306742838554,43.973108116914126,56.92827909499769,43.758574007313726,0.0
0.5,near_nyquist,32113,1.11,43.75895075981042,6.976569893656216,43.71030318729697,43.973416190183684,56.93001232861423,43.75895075981042,0.0
0.25,low_frequency,997,0.0,37.70166315078637,5.970375938668834,37.61157511642287,38.11362094087845,48.13532987541126,37.70166315078637,2.581695213166313e-07
0.25,low_frequency,997,0.37,37.70183552828344,5.970404572804559,37.61157282227737,38.11375848475881,48.135852350165734,37.70183552828344,0.0
0.25,low_frequency,997,1.11,37.70188098082394,5.970412123060456,37.6115717645656,38.11356773233927,48.13827261312188,37.70188098082394,0.0
0.25,near_nyquist,32113,0.0,37.701663104062575,5.970375930907405,37.611575116433194,38.11362091519379,48.13532961724174,37.701663104062575,0.0
0.25,near_nyquist,32113,0.37,37.70183552828344,5.970404572804559,37.61157282227952,38.11375848475882,48.135852350165734,37.70183552828344,0.0
0.25,near_nyquist,32113,1.11,37.70188098082394,5.970412123060456,37.611571764550746,38.11356773233927,48.13827261312188,37.70188098082394,0.0
0.125,low_frequency,997,0.0,31.64519828672791,4.964318652280384,31.482948202465305,32.40020219086784,39.61558381870459,31.64519828672791,0.0
0.125,low_frequency,997,0.37,31.645577041016992,4.964381568275248,31.48294837050414,32.40072755324309,39.61519051459201,31.645577041016992,0.0
0.125,low_frequency,997,1.11,31.645577041016985,4.964381568275247,31.482948242396898,32.40072755324308,39.61519051459201,31.645577041016985,0.0
0.125,near_nyquist,32113,0.0,31.64519824004831,4.964318644526298,31.482948202474645,32.400202163102925,39.61558367240708,31.64519824004831,0.0
0.125,near_nyquist,32113,0.37,31.645577041016992,4.964381568275248,31.482948370508698,32.40072755324309,39.61519051459201,31.645577041016992,0.0
0.125,near_nyquist,32113,1.11,31.645577041016992,4.964381568275248,31.48294824237688,32.40072755324308,39.615190514592,31.645577041016992,0.0
0.0625,low_frequency,997,0.0,25.590233802988983,3.9585105985031532,25.31436860995906,26.813277755960097,31.690836506219924,25.590233802988983,0.0
0.0625,low_frequency,997,0.37,25.590873951714368,3.9586169355007255,25.314368493097245,26.813961491259654,31.691342656508724,25.590873951714368,0.0
0.0625,low_frequency,997,1.11,25.590873951714368,3.9586169355007255,25.314368453604036,26.813961491259654,31.691342656508724,25.590873951714368,0.0
0.0625,near_nyquist,32113,0.0,25.59023375571946,3.958510590651073,25.314368609961555,26.813277724659695,31.690836409855443,25.59023375571946,0.0
0.0625,near_nyquist,32113,0.37,25.590873951714368,3.9586169355007255,25.31436849309887,26.813961491259654,31.69134265650872,25.590873951714368,0.0
0.0625,near_nyquist,32113,1.11,25.590873951714368,3.9586169355007255,25.314368453600785,26.813961491259654,31.691342656508724,25.590873951714368,0.0
