transition_code,point,delta_lsb,vdiff_v,expected_code,direct_code,sar_code,oracle_code,status
33,plus_eps,0.0001,-1.261717421875,33,33,33,33,PASS
34,minus_eps,-0.0001,-1.248438828125,33,33,33,33,PASS
34,exact,0.0,-1.2484375,34,34,34,34,PASS
34,plus_eps,0.0001,-1.2484361718750001,34,34,34,34,PASS
35,minus_eps,-0.0001,-1.235157578125,34,34,34,34,PASS
35,exact,0.0,-1.23515625,35,35,35,35,PASS
35,plus_eps,0.0001,-1.235154921875,35,35,35,35,PASS
36,minus_eps,-0.0001,-1.221876328125,35,35,35,35,PASS
36,exact,0.0,-1.221875,36,36,36,36,PASS
36,plus_eps,0.0001,-1.221873671875,36,36,36,36,PASS
37,minus_eps,-0.0001,-1.2085950781249999,36,36,36,36,PASS
37,exact,0.0,-1.20859375,37,37,37,37,PASS
37,plus_eps,0.0001,-1.208592421875,37,37,37,37,PASS
38,minus_eps,-0.0001,-1.195313828125,37,37,37,37,PASS
38,exact,0.0,-1.1953125,38,38,38,38,PASS
38,plus_eps,0.0001,-1.195311171875,38,38,38,38,PASS
39,minus_eps,-0.0001,-1.182032578125,38,38,38,38,PASS
39,exact,0.0,-1.18203125,39,39,39,39,PASS
39,plus_eps,0.0001,-1.1820299218750001,39,39,39,39,PASS
40,minus_eps,-0.0001,-1.168751328125,39,39,39,39,PASS
40,exact,0.0,-1.16875,40,40,40,40,PASS
40,plus_eps,0.0001,-1.168748671875,40,40,40,40,PASS
41,minus_eps,-0.0001,-1.1554700781249998,40,40,40,40,PASS
41,exact,0.0,-1.1554687499999998,41,41,41,41,PASS
41,plus_eps,0.0001,-1.1554674218749998,41,41,41,41,PASS
42,minus_eps,-0.0001,-1.1421888281249999,41,41,41,41,PASS
42,exact,0.0,-1.1421875,42,42,42,42,PASS
42,plus_eps,0.0001,-1.142186171875,42,42,42,42,PASS
43,minus_eps,-0.0001,-1.128907578125,42,42,42,42,PASS
43,exact,0.0,-1.12890625,43,43,43,43,PASS
43,plus_eps,0.0001,-1.128904921875,43,43,43,43,PASS
44,minus_eps,-0.0001,-1.115626328125,43,43,43,43,PASS
44,exact,0.0,-1.115625,44,44,44,44,PASS
44,plus_eps,0.0001,-1.1156236718750001,44,44,44,44,PASS
45,minus_eps,-0.0001,-1.102345078125,44,44,44,44,PASS
45,exact,0.0,-1.10234375,45,45,45,45,PASS
45,plus_eps,0.0001,-1.102342421875,45,45,45,45,PASS
46,minus_eps,-0.0001,-1.0890638281249998,45,45,45,45,PASS
46,exact,0.0,-1.0890624999999998,46,46,46,46,PASS
46,plus_eps,0.0001,-1.0890611718749998,46,46,46,46,PASS
47,minus_eps,-0.0001,-1.0757825781249999,46,46,46,46,PASS
47,exact,0.0,-1.07578125,47,47,47,47,PASS
