role,target_sndr_db,mismatch_seed,observed_sndr_db,observed_snr_db,observed_enob_raw,observed_sfdr_dbc,overall_status,duplicate_representative_seed,selection_rule
WORST,37.591849894139656,141,37.591849894139656,38.075970084844776,5.952134533910242,48.7150038871276,FAIL_STEADY_STATE_DYNAMIC,False,NEAREST_OBSERVED_THEN_LOWEST_SEED
P1,46.872876915957455,65,46.873517902275346,47.84927162467322,7.493939850876304,54.12081424979209,FAIL_STEADY_STATE_DYNAMIC,False,NEAREST_OBSERVED_THEN_LOWEST_SEED
P5,47.296085171563654,41,47.296487856953746,47.7896433222412,7.564200640689992,56.95605997945708,PASS_FAST64_COMPLETE,False,NEAREST_OBSERVED_THEN_LOWEST_SEED
P10,47.46361188399405,140,47.46392868026597,48.1440369913365,7.592014730941193,55.29996134599527,PASS_FAST64_COMPLETE,False,NEAREST_OBSERVED_THEN_LOWEST_SEED
P50,48.40646992307261,80,48.408033613489145,49.33652361350254,7.748842792938397,57.026024934947294,PASS_FAST64_COMPLETE,False,NEAREST_OBSERVED_THEN_LOWEST_SEED
