job_id,frame_index,comparator_p_initial_values,comparator_n_initial_values,comparator_p_retry_5ns_values,comparator_n_retry_5ns_values,comparator_decision_sources,comparator_valid_decision_count,comparator_retry_decision_count,comparator_direct_bits,comparator_direct_code,comparator_inverse_code,dctrl_direct_bits_7_to_1,dctrl_valid_update_count,dctrl_direct_code_7_to_1,dctrl_inverse_code_7_to_1,digital_dout_code,digital_observation,driver_dout_bits_470,driver_dout_code_470,analog_dout_bits_470,analog_dout_code_470,driver_dout_bits_480,driver_dout_code_480,analog_dout_bits_480,analog_dout_code_480,driver_analog_match_480,dout_stable_470_to_480
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S075_LOW_W4,0,-3.10761e-06;-8.25512e-06;-3.0238e-06;-3.02097e-06;-8.19641e-06;-8.19635e-06;-3.00891e-06;-8.23678e-06,-3.08861e-06;-8.21898e-06;-3.00746e-06;-3.00371e-06;-8.17097e-06;-8.16938e-06;-2.992e-06;-8.20988e-06,3.3;3.3;3.3;-1.66072e-06;-1.96225e-06;-1.95532e-06;3.3;-1.95804e-06,-1.86398e-06;-2.11692e-06;-1.75752e-06;3.3;3.3;3.3;-1.744e-06;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100010,226,29,1110001,7,226,28,226,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100010,226,11100010,226,11100010,226,11100010,226,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S075_LOW_W4,1,-3.06475e-06;-8.41837e-06;-2.95319e-06;-3.13736e-06;-8.35741e-06;-8.35751e-06;-3.13171e-06;-8.39841e-06,-3.04744e-06;-8.385e-06;-2.93716e-06;-3.11941e-06;-8.3366e-06;-8.33493e-06;-3.11318e-06;-8.37473e-06,3.3;3.3;3.3;3.3;-1.978e-06;-1.97147e-06;-1.65985e-06;3.3,-1.88744e-06;-2.13803e-06;-1.77113e-06;-1.76641e-06;3.3;3.3;3.3;-2.08806e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11110001,241,14,1111000,7,240,14,241,INFERRED_AT_DAC_BRIDGE_OUTPUT,11110001,241,11110001,241,11110001,241,11110001,241,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S075_LOW_W4,2,-2.46602e-06;-7.73725e-06;-2.57841e-06;-2.55683e-06;-7.59458e-06;-7.59301e-06;-2.54807e-06;-7.63204e-06,-2.45807e-06;-7.6898e-06;-2.56856e-06;-2.54669e-06;-7.54906e-06;-7.54821e-06;-2.53843e-06;-7.58932e-06,3.3;3.3;-1.61991e-06;-1.60684e-06;3.3;3.3;-1.59271e-06;3.3,-1.7966e-06;-2.05038e-06;3.3;3.3;-2.0229e-06;-2.01684e-06;3.3;-2.0192e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001101,205,50,1100110,7,204,50,205,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001101,205,11001101,205,11001101,205,11001101,205,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S075_LOW_W4,3,-3.1775e-06;-8.60968e-06;-3.31053e-06;-3.29384e-06;-8.5595e-06;-8.56219e-06;-3.28515e-06;-7.88549e-06,-3.15776e-06;-8.60028e-06;-3.28899e-06;-3.2719e-06;-8.53995e-06;-8.53843e-06;-3.26476e-06;-7.87647e-06,3.3;-2.04273e-06;-1.69551e-06;-1.68702e-06;-1.98421e-06;3.3;3.3;3.3,-1.87248e-06;3.3;3.3;3.3;3.3;-2.11558e-06;-1.77981e-06;-2.11851e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000111,135,120,1000011,7,134,120,135,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000111,135,10000111,135,10000111,135,10000111,135,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S075_LOW_W4,64,-3.05433e-06;-8.41547e-06;-2.93244e-06;-3.14295e-06;-8.03541e-06;-8.35754e-06;-3.05329e-06;-8.03501e-06,-3.03685e-06;-8.38242e-06;-2.91759e-06;-3.12372e-06;-8.00564e-06;-8.33474e-06;-3.03637e-06;-8.00327e-06,3.3;3.3;3.3;-1.67271e-06;-1.94666e-06;-1.97273e-06;3.3;-1.9392e-06,-1.87224e-06;-2.13241e-06;-1.74754e-06;3.3;3.3;3.3;-1.7425e-06;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100010,226,29,1110001,7,226,28,226,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100010,226,11100010,226,11100010,226,11100010,226,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S075_LOW_W4,65,-3.187e-06;-8.57849e-06;-2.88152e-06;-3.25979e-06;-8.19644e-06;-8.51867e-06;-3.10103e-06;-8.1966e-06,-3.16775e-06;-8.54818e-06;-2.86676e-06;-3.23987e-06;-8.17131e-06;-8.50029e-06;-3.08294e-06;-8.1681e-06,3.3;3.3;3.3;3.3;-1.96318e-06;-1.98782e-06;-1.65686e-06;3.3,-1.90213e-06;-2.15497e-06;-1.76288e-06;-1.77988e-06;3.3;3.3;3.3;-2.11177e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11110001,241,14,1111000,7,240,14,241,INFERRED_AT_DAC_BRIDGE_OUTPUT,11110001,241,11110001,241,11110001,241,11110001,241,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S075_LOW_W4,66,-2.58924e-06;-7.71878e-06;-2.48722e-06;-2.67927e-06;-7.43311e-06;-7.75426e-06;-2.51735e-06;-7.42956e-06,-2.57934e-06;-7.67624e-06;-2.47883e-06;-2.66716e-06;-7.38418e-06;-7.71334e-06;-2.50819e-06;-7.38321e-06,3.3;3.3;-1.61057e-06;-1.61892e-06;3.3;3.3;-1.59372e-06;3.3,-1.80987e-06;-2.07256e-06;3.3;3.3;-2.00669e-06;-2.03236e-06;3.3;-1.9984e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001101,205,50,1100110,7,204,50,205,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001101,205,11001101,205,11001101,205,11001101,205,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S075_LOW_W4,67,-3.30277e-06;-8.76887e-06;-3.2198e-06;-3.41612e-06;-8.39819e-06;-8.72365e-06;-3.25442e-06;-8.39847e-06,-3.28107e-06;-8.76416e-06;-3.19973e-06;-3.39221e-06;-8.37495e-06;-8.70342e-06;-3.23452e-06;-8.37465e-06,3.3;-2.05892e-06;-1.68488e-06;-1.70018e-06;-1.97152e-06;3.3;3.3;3.3,-1.88747e-06;3.3;3.3;3.3;3.3;-2.13005e-06;-1.77826e-06;-2.09117e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000111,135,120,1000011,7,134,120,135,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000111,135,10000111,135,10000111,135,10000111,135,True,True
