job_id,frame_index,comparator_p_initial_values,comparator_n_initial_values,comparator_p_retry_5ns_values,comparator_n_retry_5ns_values,comparator_decision_sources,comparator_valid_decision_count,comparator_retry_decision_count,comparator_direct_bits,comparator_direct_code,comparator_inverse_code,dctrl_direct_bits_7_to_1,dctrl_valid_update_count,dctrl_direct_code_7_to_1,dctrl_inverse_code_7_to_1,digital_dout_code,digital_observation,driver_dout_bits_470,driver_dout_code_470,analog_dout_bits_470,analog_dout_code_470,driver_dout_bits_480,driver_dout_code_480,analog_dout_bits_480,analog_dout_code_480,driver_analog_match_480,dout_stable_470_to_480
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S186_LOW_W4,0,-3.14698e-06;-8.49066e-06;-3.23431e-06;-3.21848e-06;-8.43646e-06;-8.43677e-06;-3.22302e-06;-8.4761e-06,-3.14077e-06;-8.47575e-06;-3.22716e-06;-3.21102e-06;-8.43559e-06;-8.43409e-06;-3.21536e-06;-8.47166e-06,3.3;3.3;3.3;-1.67447e-06;-1.97959e-06;-1.97509e-06;-1.66275e-06;-1.97335e-06,-1.84073e-06;-2.10068e-06;-1.74138e-06;3.3;3.3;3.3;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100000,224,31,1110000,7,224,30,224,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100000,224,11100000,224,11100000,224,11100000,224,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S186_LOW_W4,1,-3.15625e-06;-8.49314e-06;-3.23952e-06;-3.22752e-06;-8.44135e-06;-8.44012e-06;-3.40709e-06;-8.47643e-06,-3.15028e-06;-8.47785e-06;-3.23365e-06;-3.22033e-06;-8.43035e-06;-8.43069e-06;-3.40047e-06;-8.4712e-06,3.3;3.3;3.3;-1.66016e-06;3.3;3.3;3.3;3.3,-1.8569e-06;-2.10551e-06;-1.75054e-06;3.3;-2.06686e-06;-2.06295e-06;-1.74391e-06;-2.06033e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11101111,239,16,1110111,7,238,16,239,INFERRED_AT_DAC_BRIDGE_OUTPUT,11101111,239,11101111,239,11101111,239,11101111,239,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S186_LOW_W4,2,-3.01749e-06;-8.33091e-06;-2.93266e-06;-3.10294e-06;-8.28574e-06;-8.28338e-06;-3.09695e-06;-8.32175e-06,-3.01262e-06;-8.31704e-06;-2.92693e-06;-3.09605e-06;-8.27431e-06;-8.27579e-06;-3.09028e-06;-8.3153e-06,3.3;3.3;-1.66176e-06;-1.65712e-06;3.3;3.3;-1.65345e-06;-1.95914e-06,-1.81812e-06;-2.08149e-06;3.3;3.3;-2.04858e-06;-2.03679e-06;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001100,204,51,1100110,7,204,50,204,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001100,204,11001100,204,11001100,204,11001100,204,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S186_LOW_W4,3,-2.99008e-06;-8.33292e-06;-3.12246e-06;-3.10551e-06;-8.28265e-06;-8.28449e-06;-3.09652e-06;-8.3221e-06,-2.98502e-06;-8.33426e-06;-3.11611e-06;-3.09885e-06;-8.2769e-06;-8.27494e-06;-3.09034e-06;-8.31472e-06,3.3;-2.00954e-06;-1.66561e-06;-1.66117e-06;-1.96038e-06;3.3;-1.64582e-06;3.3,-1.80959e-06;3.3;3.3;3.3;3.3;-2.04474e-06;3.3;-2.04584e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000101,133,122,1000010,7,132,122,133,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000101,133,10000101,133,10000101,133,10000101,133,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S186_LOW_W4,64,-3.27351e-06;-8.64391e-06;-3.14035e-06;-3.3019e-06;-8.28265e-06;-8.59077e-06;-3.19149e-06;-8.28322e-06,-3.26626e-06;-8.63044e-06;-3.13398e-06;-3.29357e-06;-8.27913e-06;-8.59065e-06;-3.18407e-06;-8.27605e-06,3.3;3.3;3.3;-1.68569e-06;-1.96564e-06;-1.99184e-06;-1.65995e-06;-1.95411e-06,-1.85427e-06;-2.11642e-06;-1.73162e-06;3.3;3.3;3.3;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100000,224,31,1110000,7,224,30,224,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100000,224,11100000,224,11100000,224,11100000,224,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S186_LOW_W4,65,-3.28184e-06;-8.6462e-06;-3.1459e-06;-3.35333e-06;-8.28715e-06;-8.59434e-06;-3.19068e-06;-8.28384e-06,-3.27483e-06;-8.63229e-06;-3.1408e-06;-3.34512e-06;-8.27433e-06;-8.58691e-06;-3.18475e-06;-8.27537e-06,3.3;3.3;3.3;-1.67457e-06;3.3;3.3;3.3;3.3,-1.87036e-06;-2.12203e-06;-1.74059e-06;3.3;-2.0511e-06;-2.07895e-06;-1.73401e-06;-2.08057e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11101111,239,16,1110111,7,238,16,239,INFERRED_AT_DAC_BRIDGE_OUTPUT,11101111,239,11101111,239,11101111,239,11101111,239,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S186_LOW_W4,66,-3.14393e-06;-8.48431e-06;-2.99123e-06;-3.22875e-06;-8.13141e-06;-8.43762e-06;-3.0654e-06;-8.1289e-06,-3.13803e-06;-8.47202e-06;-2.98569e-06;-3.22082e-06;-8.1182e-06;-8.43215e-06;-3.05898e-06;-8.11961e-06,3.3;3.3;-1.65459e-06;-1.67018e-06;3.3;3.3;-1.65053e-06;-1.93902e-06,-1.83173e-06;-2.09768e-06;3.3;3.3;-2.03206e-06;-2.05342e-06;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001100,204,51,1100110,7,204,50,204,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001100,204,11001100,204,11001100,204,11001100,204,True,True
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S186_LOW_W4,67,-3.11863e-06;-8.9829e-06;-3.02923e-06;-3.23105e-06;-8.12868e-06;-8.43874e-06;-3.06493e-06;-8.12986e-06,-3.11254e-06;-8.98212e-06;-3.02364e-06;-3.22335e-06;-8.12062e-06;-8.43129e-06;-3.05902e-06;-8.11851e-06,3.3;-2.02493e-06;-1.65737e-06;-1.67368e-06;-1.94475e-06;3.3;-1.63667e-06;3.3,-1.82377e-06;3.3;3.3;3.3;3.3;-2.06059e-06;3.3;-2.02636e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000101,133,122,1000010,7,132,122,133,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000101,133,10000101,133,10000101,133,10000101,133,True,True
