job_id,frame_index,comparator_p_initial_values,comparator_n_initial_values,comparator_p_retry_5ns_values,comparator_n_retry_5ns_values,comparator_decision_sources,comparator_valid_decision_count,comparator_retry_decision_count,comparator_direct_bits,comparator_direct_code,comparator_inverse_code,dctrl_direct_bits_7_to_1,dctrl_valid_update_count,dctrl_direct_code_7_to_1,dctrl_inverse_code_7_to_1,digital_dout_code,digital_observation,driver_dout_bits_470,driver_dout_code_470,analog_dout_bits_470,analog_dout_code_470,driver_dout_bits_480,driver_dout_code_480,analog_dout_bits_480,analog_dout_code_480,driver_analog_match_480,dout_stable_470_to_480
SMOKE_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,0,-3.00764e-06;-8.26595e-06;-3.10193e-06;-3.09996e-06;-8.17623e-06;-8.17605e-06;-3.13106e-06;-8.21295e-06,-2.93531e-06;-8.27721e-06;-3.02904e-06;-3.02572e-06;-8.19689e-06;-8.19514e-06;-3.05827e-06;-8.23385e-06,3.3;3.3;3.3;-1.70541e-06;-2.01813e-06;-2.01509e-06;-1.69895e-06;-2.00557e-06,-1.79736e-06;-2.04889e-06;-1.70034e-06;3.3;3.3;3.3;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100000,224,31,1110000,7,224,30,224,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100000,224,11100000,224,11100000,224,11100000,224,True,True
SMOKE_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,1,-3.20588e-06;-8.45288e-06;-3.373e-06;-3.28032e-06;-8.39561e-06;-8.39573e-06;-3.28647e-06;-8.43299e-06,-3.12962e-06;-8.48576e-06;-3.29484e-06;-3.20252e-06;-8.43957e-06;-8.438e-06;-3.2089e-06;-8.47668e-06,3.3;3.3;3.3;3.3;-2.0428e-06;-2.03899e-06;-1.71844e-06;-2.03778e-06,-1.83334e-06;-2.07779e-06;-1.73037e-06;-1.70954e-06;3.3;3.3;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11110000,240,15,1111000,7,240,14,240,INFERRED_AT_DAC_BRIDGE_OUTPUT,11110000,240,11110000,240,11110000,240,11110000,240,True,True
SMOKE_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,2,-3.16103e-06;-8.40697e-06;-3.26659e-06;-3.25025e-06;-8.36249e-06;-8.36023e-06;-3.24329e-06;-8.39637e-06,-3.08561e-06;-8.43904e-06;-3.18904e-06;-3.17246e-06;-8.39406e-06;-8.39514e-06;-3.16647e-06;-8.43612e-06,3.3;3.3;-1.72707e-06;-1.71675e-06;3.3;3.3;-1.71392e-06;-2.03177e-06,-1.80683e-06;-2.06602e-06;3.3;3.3;-2.03193e-06;-2.02198e-06;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001100,204,51,1100110,7,204,50,204,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001100,204,11001100,204,11001100,204,11001100,204,True,True
SMOKE_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,3,-3.00365e-06;-8.26441e-06;-3.14839e-06;-3.12873e-06;-8.21291e-06;-8.01597e-06;-3.11803e-06;-8.24959e-06,-2.93095e-06;-8.29682e-06;-3.07355e-06;-3.05363e-06;-8.23466e-06;-8.0382e-06;-3.04405e-06;-8.27453e-06,3.3;-2.06831e-06;-1.7133e-06;-1.70879e-06;-2.01657e-06;3.3;3.3;-2.01602e-06,-1.78447e-06;3.3;3.3;3.3;3.3;-2.01432e-06;-1.69098e-06;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000110,134,121,1000011,7,134,120,134,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000110,134,10000110,134,10000110,134,10000110,134,True,True
SMOKE_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,64,-3.13309e-06;-8.86893e-06;-3.00918e-06;-3.22412e-06;-8.02995e-06;-8.32252e-06;-3.05582e-06;-8.02942e-06,-3.05805e-06;-8.88262e-06;-2.93781e-06;-3.14721e-06;-8.03518e-06;-8.35694e-06;-2.98262e-06;-8.03184e-06,3.3;3.3;3.3;-1.71895e-06;-2.00349e-06;-2.03083e-06;-1.69365e-06;-1.99027e-06,-1.81151e-06;-2.06142e-06;-1.68925e-06;3.3;3.3;3.3;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100000,224,31,1110000,7,224,30,224,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100000,224,11100000,224,11100000,224,11100000,224,True,True
SMOKE_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,65,-3.63378e-06;-8.59824e-06;-3.37615e-06;-3.40488e-06;-8.25411e-06;-8.546e-06;-3.24293e-06;-8.25061e-06,-3.55681e-06;-8.64527e-06;-3.30296e-06;-3.32441e-06;-8.27321e-06;-8.59587e-06;-3.16687e-06;-8.27344e-06,3.3;3.3;3.3;-1.72485e-06;3.3;3.3;3.3;3.3,-1.85751e-06;-2.09338e-06;-1.72488e-06;3.3;-2.02268e-06;-2.04917e-06;-1.71003e-06;-2.05212e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11101111,239,16,1110111,7,238,16,239,INFERRED_AT_DAC_BRIDGE_OUTPUT,11101111,239,11101111,239,11101111,239,11101111,239,True,True
SMOKE_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,66,-3.2861e-06;-8.5526e-06;-3.17422e-06;-3.37479e-06;-9.32556e-06;-8.5069e-06;-3.21202e-06;-8.21293e-06,-3.20797e-06;-8.59908e-06;-3.09868e-06;-3.29432e-06;-9.31036e-06;-8.55672e-06;-3.13586e-06;-8.23392e-06,3.3;3.3;-1.71814e-06;-1.73035e-06;3.3;3.3;-1.70829e-06;-2.01035e-06,-1.82073e-06;-2.08097e-06;3.3;3.3;-2.01463e-06;-2.03722e-06;3.3;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001100,204,51,1100110,7,204,50,204,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001100,204,11001100,204,11001100,204,11001100,204,True,True
SMOKE_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S001_LOW_W4,67,-3.13116e-06;-8.40879e-06;-3.05605e-06;-3.32836e-06;-8.06638e-06;-8.36134e-06;-3.08676e-06;-8.06612e-06,-3.05573e-06;-8.45699e-06;-2.98321e-06;-3.24882e-06;-8.07314e-06;-8.39459e-06;-3.01345e-06;-8.0725e-06,3.3;-2.0841e-06;-1.7036e-06;-1.72324e-06;-1.9995e-06;3.3;3.3;-1.99837e-06,-1.79832e-06;3.3;3.3;3.3;3.3;-2.02942e-06;-1.68706e-06;3.3,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000110,134,121,1000011,7,134,120,134,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000110,134,10000110,134,10000110,134,10000110,134,True,True
