job_id,frame_index,comparator_p_initial_values,comparator_n_initial_values,comparator_p_retry_5ns_values,comparator_n_retry_5ns_values,comparator_decision_sources,comparator_valid_decision_count,comparator_retry_decision_count,comparator_direct_bits,comparator_direct_code,comparator_inverse_code,dctrl_direct_bits_7_to_1,dctrl_valid_update_count,dctrl_direct_code_7_to_1,dctrl_inverse_code_7_to_1,digital_dout_code,digital_observation,driver_dout_bits_470,driver_dout_code_470,analog_dout_bits_470,analog_dout_code_470,driver_dout_bits_480,driver_dout_code_480,analog_dout_bits_480,analog_dout_code_480,driver_analog_match_480,dout_stable_470_to_480
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,0,-6.50638e-06;-2.57665e-06;-6.6495e-06;-6.59448e-06;-2.84942e-06;-2.85091e-06;-6.63649e-06;-2.5296e-06,-6.52274e-06;-2.63338e-06;-6.66339e-06;-6.61908e-06;-2.9586e-06;-2.95298e-06;-6.65098e-06;-2.63235e-06,2.99999;2.99999;2.99999;-3.23028e-06;-3.61926e-06;-3.6072e-06;2.99999;-3.6027e-06,-3.55916e-06;-3.88049e-06;-3.38368e-06;2.99999;2.99999;2.99999;-3.34177e-06;2.99999,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100010,226,29,1110001,7,226,28,226,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100010,226,11100010,226,11100010,226,11100010,226,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,1,-7.66482e-06;3.57718e-06;-7.80056e-06;-7.65834e-06;3.28524e-06;3.28005e-06;-7.77606e-06;3.59635e-06,-7.66838e-06;3.45843e-06;-7.79494e-06;-7.66783e-06;3.10689e-06;3.11076e-06;-7.78454e-06;3.43205e-06,2.99999;2.99999;2.99999;2.99999;-3.7137e-06;-3.7017e-06;-3.27553e-06;2.99999,-3.68266e-06;-3.99533e-06;-3.47989e-06;-3.45774e-06;2.99999;2.99999;2.99999;-3.87383e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11110001,241,14,1111000,7,240,14,241,INFERRED_AT_DAC_BRIDGE_OUTPUT,11110001,241,11110001,241,11110001,241,11110001,241,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,2,-6.54022e-06;-2.84946e-06;-6.85774e-06;-6.7612e-06;-2.21491e-06;-2.20987e-06;-6.7565e-06;-1.88615e-06,-6.55889e-06;-2.92844e-06;-6.88478e-06;-6.77589e-06;-2.30615e-06;-2.30992e-06;-6.77044e-06;-1.99223e-06,2.99999;2.99999;-3.24594e-06;-3.22175e-06;2.99999;2.99999;-3.19277e-06;2.99999,-3.56016e-06;-3.87633e-06;2.99999;2.99999;-3.80584e-06;-3.79383e-06;2.99999;-3.79035e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001101,205,50,1100110,7,204,50,205,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001101,205,11001101,205,11001101,205,11001101,205,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,3,-6.63122e-06;1.85076e-07;-6.89032e-06;-6.88273e-06;-1.56141e-06;-1.5669e-06;-6.87688e-06;-3.90467e-06,-6.65354e-06;2.53914e-08;-6.91743e-06;-6.8991e-06;-1.67383e-06;-1.66969e-06;-6.88945e-06;-4.00261e-06,2.99999;-3.75973e-06;-3.25958e-06;-3.23811e-06;-3.61843e-06;2.99999;2.99999;2.99999,-3.53378e-06;2.99999;2.99999;2.99999;2.99999;-3.81e-06;-3.37248e-06;-3.79733e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000111,135,120,1000011,7,134,120,135,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000111,135,10000111,135,10000111,135,10000111,135,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,64,-6.74857e-06;-1.28036e-06;-6.46992e-06;-6.88381e-06;-4.1408e-06;-1.56033e-06;-6.57649e-06;-4.1419e-06,-6.76234e-06;-1.35074e-06;-6.48497e-06;-6.90457e-06;-4.23598e-06;-1.67629e-06;-6.59138e-06;-4.22798e-06,2.99999;2.99999;2.99999;-3.24128e-06;-3.59877e-06;-3.62697e-06;2.99999;-3.57925e-06,-3.57912e-06;-3.90125e-06;-3.37022e-06;2.99999;2.99999;2.99999;-3.32766e-06;2.99999,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100010,226,29,1110001,7,226,28,226,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100010,226,11100010,226,11100010,226,11100010,226,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,65,-7.87059e-06;4.87401e-06;-7.62092e-06;-7.94439e-06;1.9938e-06;4.57076e-06;-7.7161e-06;1.98431e-06,-7.87192e-06;4.74184e-06;-7.61725e-06;-7.95162e-06;1.8296e-06;4.38742e-06;-7.72482e-06;1.83621e-06,2.99999;2.99999;2.99999;2.99999;-3.69392e-06;-3.72253e-06;-3.27026e-06;2.99999,-3.70192e-06;-4.01748e-06;-3.46528e-06;-3.47375e-06;2.99999;2.99999;2.99999;-3.89259e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11110001,241,14,1111000,7,240,14,241,INFERRED_AT_DAC_BRIDGE_OUTPUT,11110001,241,11110001,241,11110001,241,11110001,241,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,66,-6.76771e-06;-2.49865e-06;-6.56521e-06;-7.00082e-06;-3.50527e-06;-9.19416e-07;-6.6965e-06;-3.4988e-06,-6.78375e-06;-2.58496e-06;-6.59451e-06;-7.01428e-06;-3.58366e-06;-1.03311e-06;-6.71084e-06;-3.58747e-06,2.99999;2.99999;-3.2371e-06;-3.23934e-06;2.99999;2.99999;-3.19341e-06;2.99999,-3.57981e-06;-3.89422e-06;2.99999;2.99999;-3.78547e-06;-3.81444e-06;2.99999;-3.76594e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001101,205,50,1100110,7,204,50,205,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001101,205,11001101,205,11001101,205,11001101,205,True,True
PVT3_SS_3P0_125C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,67,-6.85665e-06;2.05324e-06;-6.71189e-06;-7.12223e-06;-2.85224e-06;-2.76792e-07;-6.81693e-06;-4.81892e-06,-6.87786e-06;1.87586e-06;-6.73912e-06;-7.13751e-06;-2.9507e-06;-3.92588e-07;-6.8298e-06;-4.90549e-06,2.99999;-3.78066e-06;-3.24586e-06;-3.25522e-06;-3.59509e-06;2.99999;2.99999;2.99999,-3.55285e-06;2.99999;2.99999;2.99999;2.99999;-3.83052e-06;-3.36917e-06;-3.76287e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000111,135,120,1000011,7,134,120,135,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000111,135,10000111,135,10000111,135,10000111,135,True,True
