job_id,frame_index,comparator_p_initial_values,comparator_n_initial_values,comparator_p_retry_5ns_values,comparator_n_retry_5ns_values,comparator_decision_sources,comparator_valid_decision_count,comparator_retry_decision_count,comparator_direct_bits,comparator_direct_code,comparator_inverse_code,dctrl_direct_bits_7_to_1,dctrl_valid_update_count,dctrl_direct_code_7_to_1,dctrl_inverse_code_7_to_1,digital_dout_code,digital_observation,driver_dout_bits_470,driver_dout_code_470,analog_dout_bits_470,analog_dout_code_470,driver_dout_bits_480,driver_dout_code_480,analog_dout_bits_480,analog_dout_code_480,driver_analog_match_480,dout_stable_470_to_480
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,0,-1.59608e-06;-4.93922e-06;-1.70843e-06;-1.69689e-06;-4.84903e-06;-4.84822e-06;-1.73979e-06;-4.89856e-06,-1.57401e-06;-4.90557e-06;-1.68617e-06;-1.67565e-06;-4.81572e-06;-4.81469e-06;-1.71713e-06;-4.86639e-06,3.6;3.6;3.6;-1.47601e-06;-1.79257e-06;-1.79028e-06;-1.47835e-06;3.6,-1.47489e-06;-1.73277e-06;-1.39701e-06;3.6;3.6;3.6;3.6;-1.71023e-06,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100001,225,30,1110000,7,224,30,225,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100001,225,11100001,225,11100001,225,11100001,225,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,1,-1.6161e-06;-5.16412e-06;-1.71332e-06;-1.66964e-06;-5.0712e-06;-5.07036e-06;-1.65414e-06;-5.14383e-06,-1.59368e-06;-5.13118e-06;-1.68972e-06;-1.64714e-06;-5.03888e-06;-5.03775e-06;-1.63169e-06;-5.11155e-06,3.6;3.6;3.6;3.6;-1.80414e-06;-1.8014e-06;-1.48148e-06;-1.80169e-06,-1.49974e-06;-1.74321e-06;-1.41746e-06;-1.40398e-06;3.6;3.6;3.6;3.6,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11110000,240,15,1111000,7,240,14,240,INFERRED_AT_DAC_BRIDGE_OUTPUT,11110000,240,11110000,240,11110000,240,11110000,240,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,2,-1.59723e-06;-4.93469e-06;-1.73107e-06;-1.68291e-06;-4.84877e-06;-4.84809e-06;-1.67006e-06;-4.91702e-06,-1.57556e-06;-4.90118e-06;-1.71005e-06;-1.66104e-06;-4.81542e-06;-4.8147e-06;-1.64809e-06;-4.88577e-06,3.6;3.6;-1.47842e-06;-1.47171e-06;3.6;3.6;-1.47075e-06;-1.7946e-06,-1.4734e-06;-1.73172e-06;3.6;3.6;-1.71494e-06;-1.70813e-06;3.6;3.6,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001100,204,51,1100110,7,204,50,204,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001100,204,11001100,204,11001100,204,11001100,204,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,3,-1.52455e-06;-4.85563e-06;-1.77626e-06;-1.74391e-06;-4.77455e-06;-4.75333e-06;-1.66819e-06;-4.84762e-06,-1.50333e-06;-4.82461e-06;-1.75523e-06;-1.72196e-06;-4.74078e-06;-4.72121e-06;-1.64644e-06;-4.81418e-06,3.6;-1.81247e-06;-1.47811e-06;-1.47791e-06;-1.78364e-06;3.6;3.6;-1.78651e-06,-1.47083e-06;3.6;3.6;3.6;3.6;-1.71781e-06;-1.39007e-06;3.6,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000110,134,121,1000011,7,134,120,134,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000110,134,10000110,134,10000110,134,10000110,134,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,64,-1.58434e-06;-5.2342e-06;-1.72108e-06;-1.67999e-06;-4.553e-06;-5.14434e-06;-1.5099e-06;-4.5344e-06,-1.56176e-06;-5.20149e-06;-1.6993e-06;-1.65773e-06;-4.51844e-06;-5.11206e-06;-1.48913e-06;-4.5008e-06,3.6;3.6;3.6;-1.49093e-06;-1.77828e-06;-1.80457e-06;-1.46363e-06;-1.76718e-06,-1.48938e-06;-1.7471e-06;-1.38792e-06;3.6;3.6;3.6;3.6;3.6,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11100000,224,31,1110000,7,224,30,224,INFERRED_AT_DAC_BRIDGE_OUTPUT,11100000,224,11100000,224,11100000,224,11100000,224,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,65,-1.6013e-06;-5.45887e-06;-1.72308e-06;-1.654e-06;-4.77514e-06;-5.36653e-06;-1.65779e-06;-4.77356e-06,-1.57831e-06;-5.42686e-06;-1.69972e-06;-1.63081e-06;-4.74154e-06;-5.33516e-06;-1.63552e-06;-4.73983e-06,3.6;3.6;3.6;3.6;-1.78969e-06;-1.81644e-06;-1.47878e-06;-1.82018e-06,-1.51336e-06;-1.7577e-06;-1.40662e-06;-1.41793e-06;3.6;3.6;3.6;3.6,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11110000,240,15,1111000,7,240,14,240,INFERRED_AT_DAC_BRIDGE_OUTPUT,11110000,240,11110000,240,11110000,240,11110000,240,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,66,-1.58499e-06;-5.22996e-06;-1.74475e-06;-1.6669e-06;-4.55258e-06;-5.14429e-06;-1.68948e-06;-4.55138e-06,-1.56266e-06;-5.19743e-06;-1.72455e-06;-1.64423e-06;-4.51818e-06;-5.11203e-06;-1.66754e-06;-4.51679e-06,3.6;3.6;-1.46726e-06;-1.48452e-06;3.6;3.6;-1.47046e-06;-1.7724e-06,-1.48729e-06;-1.74622e-06;3.6;3.6;-1.7004e-06;-1.72474e-06;3.6;3.6,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,11001100,204,51,1100110,7,204,50,204,INFERRED_AT_DAC_BRIDGE_OUTPUT,11001100,204,11001100,204,11001100,204,11001100,204,True,True
PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,67,-1.51811e-06;-5.16575e-06;-1.62725e-06;-1.67816e-06;-4.47839e-06;-5.00162e-06;-1.67177e-06;-4.47734e-06,-1.49619e-06;-5.134e-06;-1.6077e-06;-1.65595e-06;-4.44344e-06;-4.97188e-06;-1.65019e-06;-4.44246e-06,3.6;-1.82117e-06;-1.46043e-06;-1.48553e-06;-1.76949e-06;3.6;3.6;-1.76893e-06,-1.48458e-06;3.6;3.6;3.6;3.6;-1.73181e-06;-1.38436e-06;3.6,RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS;RETRY_5NS,8,8,10000110,134,121,1000011,7,134,120,134,INFERRED_AT_DAC_BRIDGE_OUTPUT,10000110,134,10000110,134,10000110,134,10000110,134,True,True
