timestamp_utc,process_count,total_threads,total_rss_kb,pids
2026-07-25T13:36:36.951500+00:00,0,0,0,
2026-07-25T13:38:45.115075+00:00,4,16,465592,1574338;1574365;1574392;1574419
2026-07-25T13:38:47.117670+00:00,4,16,476680,1574338;1574365;1574392;1574419
2026-07-25T13:38:49.120367+00:00,4,16,487336,1574338;1574365;1574392;1574419
2026-07-25T13:38:51.123228+00:00,4,16,498352,1574338;1574365;1574392;1574419
2026-07-25T13:38:53.125488+00:00,4,16,507536,1574338;1574365;1574392;1574419
2026-07-25T13:38:55.129286+00:00,4,16,106632,1574886;1574914;1574941;1574968
2026-07-25T13:38:57.131567+00:00,4,16,115588,1574886;1574914;1574941;1574968
2026-07-25T13:38:59.133981+00:00,4,16,127988,1574886;1574914;1574941;1574968
2026-07-25T13:39:01.136161+00:00,4,16,157224,1574886;1574914;1574941;1574968
2026-07-25T13:39:03.138503+00:00,4,16,163744,1574886;1574914;1574941;1574968
2026-07-25T13:39:05.141127+00:00,4,16,170064,1574886;1574914;1574941;1574968
2026-07-25T13:39:07.143977+00:00,4,16,191456,1574886;1574914;1574941;1574968
2026-07-25T13:39:09.145193+00:00,4,16,201416,1574886;1574914;1574941;1574968
2026-07-25T13:39:11.147228+00:00,4,16,211076,1574886;1574914;1574941;1574968
2026-07-25T13:39:13.149623+00:00,4,16,220796,1574886;1574914;1574941;1574968
2026-07-25T13:39:15.153097+00:00,4,16,230456,1574886;1574914;1574941;1574968
2026-07-25T13:39:17.155685+00:00,4,16,239816,1574886;1574914;1574941;1574968
2026-07-25T13:39:19.158217+00:00,4,16,256640,1574886;1574914;1574941;1574968
2026-07-25T13:39:21.160322+00:00,4,16,274876,1574886;1574914;1574941;1574968
2026-07-25T13:39:23.162833+00:00,4,16,286612,1574886;1574914;1574941;1574968
2026-07-25T13:39:25.165555+00:00,4,16,298060,1574886;1574914;1574941;1574968
2026-07-25T13:39:27.168090+00:00,4,16,309220,1574886;1574914;1574941;1574968
2026-07-25T13:39:29.170943+00:00,4,16,320956,1574886;1574914;1574941;1574968
2026-07-25T13:39:31.173129+00:00,4,16,332836,1574886;1574914;1574941;1574968
2026-07-25T13:39:33.176034+00:00,4,16,344356,1574886;1574914;1574941;1574968
2026-07-25T13:39:35.178424+00:00,4,16,356164,1574886;1574914;1574941;1574968
2026-07-25T13:39:37.180960+00:00,4,16,367756,1574886;1574914;1574941;1574968
2026-07-25T13:39:39.182110+00:00,4,16,379348,1574886;1574914;1574941;1574968
2026-07-25T13:39:41.184260+00:00,4,16,390940,1574886;1574914;1574941;1574968
2026-07-25T13:39:43.186794+00:00,4,16,401956,1574886;1574914;1574941;1574968
2026-07-25T13:39:45.188980+00:00,4,16,413476,1574886;1574914;1574941;1574968
2026-07-25T13:39:47.191065+00:00,4,16,424060,1574886;1574914;1574941;1574968
2026-07-25T13:39:49.193635+00:00,4,16,435796,1574886;1574914;1574941;1574968
2026-07-25T13:39:51.196522+00:00,4,16,447316,1574886;1574914;1574941;1574968
2026-07-25T13:39:53.199386+00:00,4,16,458764,1574886;1574914;1574941;1574968
2026-07-25T13:39:55.201552+00:00,4,16,470284,1574886;1574914;1574941;1574968
2026-07-25T13:39:57.203983+00:00,4,16,481588,1574886;1574914;1574941;1574968
2026-07-25T13:39:59.206500+00:00,4,16,493252,1574886;1574914;1574941;1574968
2026-07-25T13:40:01.208610+00:00,4,16,503892,1574886;1574914;1574941;1574968
2026-07-25T13:40:03.210990+00:00,4,13,180248,1574941;1574968;1575396;1575430
2026-07-25T13:40:05.214761+00:00,4,16,111648,1575396;1575430;1575464;1575491
2026-07-25T13:40:07.217580+00:00,4,16,123080,1575396;1575430;1575464;1575491
2026-07-25T13:40:09.219175+00:00,4,16,143876,1575396;1575430;1575464;1575491
2026-07-25T13:40:11.221677+00:00,4,16,161256,1575396;1575430;1575464;1575491
2026-07-25T13:40:13.224261+00:00,4,16,167776,1575396;1575430;1575464;1575491
2026-07-25T13:40:15.226676+00:00,4,16,182032,1575396;1575430;1575464;1575491
2026-07-25T13:40:17.229220+00:00,4,16,198288,1575396;1575430;1575464;1575491
2026-07-25T13:40:19.231980+00:00,4,16,207528,1575396;1575430;1575464;1575491
2026-07-25T13:40:21.234768+00:00,4,16,216828,1575396;1575430;1575464;1575491
2026-07-25T13:40:23.237253+00:00,4,16,226368,1575396;1575430;1575464;1575491
2026-07-25T13:40:25.241043+00:00,4,16,236388,1575396;1575430;1575464;1575491
2026-07-25T13:40:27.243475+00:00,4,16,249820,1575396;1575430;1575464;1575491
2026-07-25T13:40:29.245967+00:00,4,16,271480,1575396;1575430;1575464;1575491
2026-07-25T13:40:31.248104+00:00,4,16,283288,1575396;1575430;1575464;1575491
2026-07-25T13:40:33.250599+00:00,4,16,295024,1575396;1575430;1575464;1575491
2026-07-25T13:40:35.253186+00:00,4,16,306328,1575396;1575430;1575464;1575491
2026-07-25T13:40:37.255760+00:00,4,16,316840,1575396;1575430;1575464;1575491
2026-07-25T13:40:39.256378+00:00,4,16,328288,1575396;1575430;1575464;1575491
2026-07-25T13:40:41.258574+00:00,4,16,339664,1575396;1575430;1575464;1575491
2026-07-25T13:40:43.261083+00:00,4,16,351472,1575396;1575430;1575464;1575491
2026-07-25T13:40:45.263686+00:00,4,16,362992,1575396;1575430;1575464;1575491
2026-07-25T13:40:47.266766+00:00,4,16,374440,1575396;1575430;1575464;1575491
2026-07-25T13:40:49.268868+00:00,4,16,385888,1575396;1575430;1575464;1575491
2026-07-25T13:40:51.271356+00:00,4,16,397264,1575396;1575430;1575464;1575491
2026-07-25T13:40:53.273450+00:00,4,16,408928,1575396;1575430;1575464;1575491
2026-07-25T13:40:55.275809+00:00,4,16,419944,1575396;1575430;1575464;1575491
2026-07-25T13:40:57.278282+00:00,4,16,431104,1575396;1575430;1575464;1575491
2026-07-25T13:40:59.280674+00:00,4,16,442624,1575396;1575430;1575464;1575491
2026-07-25T13:41:01.283478+00:00,4,16,453928,1575396;1575430;1575464;1575491
2026-07-25T13:41:03.285683+00:00,4,16,465592,1575396;1575430;1575464;1575491
2026-07-25T13:41:05.289055+00:00,4,16,477040,1575396;1575430;1575464;1575491
2026-07-25T13:41:07.291661+00:00,4,16,488200,1575396;1575430;1575464;1575491
2026-07-25T13:41:09.294222+00:00,4,16,499216,1575396;1575430;1575464;1575491
2026-07-25T13:41:11.296804+00:00,4,16,507544,1575396;1575430;1575464;1575491
2026-07-25T13:41:13.299875+00:00,4,16,106852,1575920;1575947;1575981;1576008
2026-07-25T13:41:15.302300+00:00,4,16,117440,1575920;1575947;1575981;1576008
2026-07-25T13:41:17.304890+00:00,4,16,129172,1575920;1575947;1575981;1576008
2026-07-25T13:41:19.306919+00:00,4,16,157980,1575920;1575947;1575981;1576008
2026-07-25T13:41:21.309340+00:00,4,16,164820,1575920;1575947;1575981;1576008
2026-07-25T13:41:23.311803+00:00,4,16,171660,1575920;1575947;1575981;1576008
2026-07-25T13:41:25.316471+00:00,4,16,194612,1575920;1575947;1575981;1576008
2026-07-25T13:41:27.319071+00:00,4,16,203552,1575920;1575947;1575981;1576008
2026-07-25T13:41:29.322150+00:00,4,16,212852,1575920;1575947;1575981;1576008
2026-07-25T13:41:31.324341+00:00,4,16,222692,1575920;1575947;1575981;1576008
2026-07-25T13:41:33.326964+00:00,4,16,232472,1575920;1575947;1575981;1576008
2026-07-25T13:41:35.329378+00:00,4,16,241832,1575920;1575947;1575981;1576008
2026-07-25T13:41:37.332000+00:00,4,16,261968,1575920;1575947;1575981;1576008
2026-07-25T13:41:39.332833+00:00,4,16,276876,1575920;1575947;1575981;1576008
2026-07-25T13:41:41.335207+00:00,4,16,288540,1575920;1575947;1575981;1576008
2026-07-25T13:41:43.338374+00:00,4,16,299700,1575920;1575947;1575981;1576008
2026-07-25T13:41:45.342403+00:00,4,16,310932,1575920;1575947;1575981;1576008
2026-07-25T13:41:47.344914+00:00,4,16,322236,1575920;1575947;1575981;1576008
2026-07-25T13:41:49.347443+00:00,4,16,333756,1575920;1575947;1575981;1576008
2026-07-25T13:41:51.350108+00:00,4,16,345492,1575920;1575947;1575981;1576008
2026-07-25T13:41:53.352951+00:00,4,16,357444,1575920;1575947;1575981;1576008
2026-07-25T13:41:55.357363+00:00,4,16,368964,1575920;1575947;1575981;1576008
2026-07-25T13:41:57.359857+00:00,4,16,379980,1575920;1575947;1575981;1576008
2026-07-25T13:41:59.362728+00:00,4,16,391212,1575920;1575947;1575981;1576008
2026-07-25T13:42:01.365177+00:00,4,16,402804,1575920;1575947;1575981;1576008
2026-07-25T13:42:03.367915+00:00,4,16,414612,1575920;1575947;1575981;1576008
2026-07-25T13:42:05.371072+00:00,4,16,425988,1575920;1575947;1575981;1576008
2026-07-25T13:42:07.373615+00:00,4,16,437220,1575920;1575947;1575981;1576008
