campaign,phase,job_id,pvt,mismatch_seed,noise_seed,frame_index,expected_commanded_vid_v,actual_commanded_vid_v,commanded_input_match,expected_code,actual_code,code_match,expected_valid,actual_valid,valid_match,returncode,simulation_aborted,row_pass,early_stop,deck,log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,TT_3P3_27C,3,100003,0,1.2828902960507325,1.2828902960507325,True,225,225,True,True,True,True,0,False,True,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,TT_3P3_27C,3,100003,1,1.4847917950223695,1.4847917950223695,True,241,241,True,True,True,True,0,False,True,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,TT_3P3_27C,3,100003,2,1.0127250394037193,1.0127250394037193,True,205,205,True,True,True,True,0,False,True,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,TT_3P3_27C,3,100003,3,0.08097440959825364,0.08097440959825364,True,135,135,True,True,True,True,0,False,True,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4,TT_3P3_27C,3,100003,4,-0.8876553625803686,-0.8876553625803686,True,62,62,True,True,True,True,0,False,True,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S003_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,TT_3P3_27C,4,100004,0,1.2829628095208447,1.2829628095208447,True,224,224,True,True,True,True,0,False,True,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,TT_3P3_27C,4,100004,1,1.4848024274363836,1.4848024274363836,True,231,239,False,True,True,True,0,False,False,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,TT_3P3_27C,4,100004,2,1.0128222990220415,1.0128222990220415,True,196,204,False,True,True,True,0,False,False,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,TT_3P3_27C,4,100004,3,0.08090458072514599,0.08090458072514599,True,133,133,True,True,True,True,0,False,True,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/logs/prefix5.log
01_MC200_TT_LOW_W4,P4_EVENT_NOISE_MC200_LOW,MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4,TT_3P3_27C,4,100004,4,-0.8876117243549283,-0.8876117243549283,True,60,60,True,True,True,True,0,False,True,PREFIX_LIMITED_AFTER_5_FRAMES,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/jobs/prefix5.spice,/foss/designs/A44_SAR_ADC_CURRENT_CACE_REPRODUCIBLE_20260728_R1/06_RUN_OUTPUTS/DEBUG_MC200_SEQUENTIAL/P4_EVENT_NOISE_MC200_LOW/MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S004_LOW_W4/logs/prefix5.log
