job_id,mismatch_seed,noise_mode,band,early_frame,same_phase_frame,early_code,same_phase_code,code_equal,classification,used_as_first_conversion_gate
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S009_LOW_W4,9,ON,LOW,2,66,205,205,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S009_LOW_W4,9,ON,LOW,3,67,135,135,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S010_LOW_W4,10,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S010_LOW_W4,10,ON,LOW,1,65,239,239,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S010_LOW_W4,10,ON,LOW,2,66,203,204,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S010_LOW_W4,10,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S011_LOW_W4,11,ON,LOW,0,64,222,222,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S011_LOW_W4,11,ON,LOW,1,65,237,237,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S011_LOW_W4,11,ON,LOW,2,66,202,202,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S011_LOW_W4,11,ON,LOW,3,67,132,131,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,12,ON,LOW,0,64,226,226,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,12,ON,LOW,1,65,241,241,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,12,ON,LOW,2,66,205,205,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S012_LOW_W4,12,ON,LOW,3,67,135,135,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S013_LOW_W4,13,ON,LOW,0,64,225,225,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S013_LOW_W4,13,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S013_LOW_W4,13,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S013_LOW_W4,13,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S014_LOW_W4,14,ON,LOW,0,64,223,223,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S014_LOW_W4,14,ON,LOW,1,65,238,238,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S014_LOW_W4,14,ON,LOW,2,66,202,203,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S014_LOW_W4,14,ON,LOW,3,67,132,132,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S015_LOW_W4,15,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
