job_id,category,pvt,mismatch_seed,noise_seed,band,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,attempt_count,measurement_stem,compact_code_checksum_sha256
D3_S011_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,11,100011,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s011_low_050ps,eed60e0c3099902b152cc433e1b5e0ea7efb8720da209b7033a70b8365f0731f
D3_S011_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,11,100011,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s011_near_nyquist_050ps,71c2f7241ba1320bdd3a0cada9a28544f9c59accccc234c4eb9838e098a1bd2f
D3_S012_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,12,100012,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s012_low_050ps,b5eef19f9d16c6fa5b24a4f566444b8e71cb2aea711f53c00c67e2a347817dfa
D3_S012_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,12,100012,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s012_near_nyquist_050ps,dde21431c7e04e41947bb5404efcea88367ef832e85bf93fad3dc0f06bba2278
D3_S013_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,13,100013,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s013_low_050ps,177323724e4c8eab5c9fe1f33f2d1746cce793b0cafeb32c218383ae9c26aa1e
D3_S013_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,13,100013,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s013_near_nyquist_050ps,1aa0729682dc9515c89115ca9eb5c7d62ba99f924741647a06b5997bf7f3827b
D3_S014_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,14,100014,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s014_low_050ps,bd101acb0ba5a02a51ae03a3ac7527fc31d10a68c2369bc9e9815f8d88277a9e
D3_S014_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,14,100014,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s014_near_nyquist_050ps,f257bbac27e4ab53436df77c7e935ef2cb11c05c93b47e0ef30e8eb352c1cf44
D3_S015_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,15,100015,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s015_low_050ps,f67af91cf86dbc9fc2befe53d29fc4091fe76d7f06f04aace0b28f4c8839c31c
D3_S015_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,15,100015,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s015_near_nyquist_050ps,d92a89de4fca910d5e3c918b2afb82566497d730d67073d87e9cffe74167f0b1
