mode,fin_hz,fs_hz,nfft,fundamental_bin,fundamental_frequency_hz,input_amplitude_vpp_diff,SNDR_dB,ENOB_bits,SFDR_dB,THD_dB,harmonic_bins_after_alias,largest_spur_frequency_hz,largest_spur_dBc,noise_floor_estimate_dBFS,clipping_detected,missing_samples,status,evidence_class,notes
IDEAL_ADC,975097.65625,2000000.0,4096,1997,975097.65625,3.0,48.801656486880525,7.814228652305736,67.39998474954942,-68.17445887646561,"[102, 1895, 204, 1793]",556152.34375,-67.39998474954942,,,,PASS,IDEAL_BASELINE_REFERENCE,Generated ideal reference from quantizer equations and existing ideal metrics.
ACTUAL_CDAC_CMP_ADC,975097.65625,2000000.0,4096,1997,975097.65625,3.0,48.683448130195366,7.794592712657038,67.3513412319073,-77.9752582323196,"[102, 1895, 204, 1793]",456542.96875,-67.3513412319073,,false,0,PASS,ACTUAL_ELECTRICAL_AUTHORITY,Actual closed-loop near_nyquist full dynamic run completed from ngspice .meas DOUT samples.
