mode,fin_hz,fs_hz,nfft,fundamental_bin,fundamental_frequency_hz,input_amplitude_vpp_diff,SNDR_dB,ENOB_bits,SFDR_dB,THD_dB,harmonic_bins_after_alias,largest_spur_frequency_hz,largest_spur_dBc,noise_floor_estimate_dBFS,clipping_detected,missing_samples,status,evidence_class,notes
IDEAL_ADC,96191.40625,2000000.0,4096,197,96191.40625,3.0,48.8016564868805,7.814228652305732,67.3999847495493,-68.1744588764656,"[394, 591, 788, 985]",185058.59375,-67.3999847495493,,,,PASS,IDEAL_BASELINE_REFERENCE,Generated ideal reference from quantizer equations and existing ideal metrics.
ACTUAL_CDAC_CMP_ADC,96191.40625,2000000.0,4096,197,96191.40625,3.0,48.68344813019537,7.79459271265704,67.3513412319073,-77.97525823231967,"[394, 591, 788, 985]",569824.21875,-67.3513412319073,,false,0,PASS,ACTUAL_ELECTRICAL_AUTHORITY,Actual closed-loop midband full dynamic run completed from ngspice .meas DOUT samples.
